Symbol,Date,Open,High,Low,Close,Volume
AADR,03-Apr-2018 09:30,57.55,57.55,57.55,57.55,375
AADR,03-Apr-2018 09:40,57.7,57.97,57.7,57.97,246
AADR,03-Apr-2018 09:50,57.74,57.74,57.74,57.74,115
AADR,03-Apr-2018 10:05,57.62,57.62,57.62,57.62,102
AADR,03-Apr-2018 10:20,57.51,57.51,57.51,57.51,100
AADR,03-Apr-2018 10:35,57.59,57.75,57.59,57.75,200
AADR,03-Apr-2018 11:00,57.75,57.75,57.75,57.75,200
AADR,03-Apr-2018 11:15,57.75,57.75,57.75,57.75,100
AADR,03-Apr-2018 11:25,57.75,57.75,57.75,57.75,100
AADR,03-Apr-2018 11:35,57.75,57.79,57.69,57.69,3154
AADR,03-Apr-2018 11:40,57.69,57.69,57.63,57.63,410
AADR,03-Apr-2018 12:10,57.59,57.59,57.59,57.59,100
AADR,03-Apr-2018 12:50,57.64,57.64,57.64,57.64,1271
AADR,03-Apr-2018 13:00,57.62,57.62,57.62,57.62,100
AADR,03-Apr-2018 13:30,57.69,57.69,57.69,57.69,200
AADR,03-Apr-2018 13:40,57.58,57.58,57.58,57.58,365
AADR,03-Apr-2018 13:45,57.61,57.61,57.61,57.61,1000
AADR,03-Apr-2018 13:55,57.61,57.72,57.61,57.7,700
AADR,03-Apr-2018 14:05,57.63,57.63,57.63,57.63,400
AADR,03-Apr-2018 14:15,57.54,57.54,57.54,57.54,150
AADR,03-Apr-2018 14:20,57.59,57.59,57.59,57.59,115
AADR,03-Apr-2018 14:55,57.56,57.61,57.56,57.61,387
AADR,03-Apr-2018 15:15,57.71,57.71,57.71,57.71,1125
AADR,03-Apr-2018 15:30,57.8,57.8,57.76,57.76,706
AADR,03-Apr-2018 15:45,57.78,57.78,57.78,57.78,304
AADR,03-Apr-2018 15:55,57.86,57.86,57.86,57.86,100
AAMC,03-Apr-2018 11:20,63.25,63.25,63.25,63.25,100
AAMC,03-Apr-2018 15:05,62.05,62.05,62.05,62.05,100
AAU,03-Apr-2018 09:30,0.85,0.85,0.85,0.85,3317
AAU,03-Apr-2018 09:35,0.84,0.84,0.84,0.84,100
AAU,03-Apr-2018 09:40,0.84,0.84,0.84,0.84,200
AAU,03-Apr-2018 09:45,0.83,0.84,0.83,0.84,1510
AAU,03-Apr-2018 10:00,0.84,0.84,0.84,0.84,300
AAU,03-Apr-2018 10:20,0.84,0.84,0.84,0.84,100
AAU,03-Apr-2018 11:00,0.83,0.83,0.83,0.83,11023
AAU,03-Apr-2018 11:05,0.83,0.83,0.82,0.82,10210
AAU,03-Apr-2018 11:10,0.82,0.82,0.82,0.82,100
AAU,03-Apr-2018 11:15,0.82,0.82,0.82,0.82,100
AAU,03-Apr-2018 11:20,0.82,0.82,0.82,0.82,300
AAU,03-Apr-2018 11:50,0.82,0.82,0.82,0.82,100
