Symbol,Date,Open,High,Low,Close,Volume
AADR,27-Apr-2018,58.07,58.47,58.07,58.45,22800
AAMC,27-Apr-2018,65,65,65,65,600
AAU,27-Apr-2018,0.81,0.82,0.81,0.81,52600
ABE,27-Apr-2018,14.45,14.86,14.45,14.695,8200
ACIM,27-Apr-2018,78.58,78.93,78.58,78.93,1800
ACSI,27-Apr-2018,30.88,31.3,30.88,31.3,2600
ACU,27-Apr-2018,21.1,21.5,20.6,21.4,2300
ACWF,27-Apr-2018,30.84,30.93,30.79,30.865,3000
ACWV,27-Apr-2018,83.69,83.99,83.69,83.86,70400
ACY,27-Apr-2018,15.9,16.2,15.25,15.85,9700
AE,27-Apr-2018,46.88,46.88,44.9,44.9,10200
AFK,27-Apr-2018,25.45,25.58,25.3,25.32,1600
AFTY,27-Apr-2018,16.78,16.84,16.76,16.84,1100
AGF,27-Apr-2018,10.56,10.56,10.56,10.56,100
AGG,27-Apr-2018,105.96,106.04,105.94,105.98,3806300
AGGE,27-Apr-2018,18.55,18.59,18.55,18.59,2600
AGGP,27-Apr-2018,19.07,19.09,19.06,19.06,24700
AGGY,27-Apr-2018,48.6,48.64,48.595,48.64,20000
AGQ,27-Apr-2018,31.6,31.64,31.3,31.61,84900
AGT,27-Apr-2018,29.67,29.88,29.63,29.88,900
AGZ,27-Apr-2018,110.94,111.13,110.94,111,15200
AIEQ,27-Apr-2018,26.49,26.64,26.47,26.55,34900
AINC,27-Apr-2018,89.575,89.575,89.575,89.575,200
AIRI,27-Apr-2018,1.49,1.52,1.45,1.52,31500
AKG,27-Apr-2018,1.07,1.14,1.07,1.12,283100
ALD,27-Apr-2018,45.25,45.36,45.25,45.36,500
ALFA,27-Apr-2018,44.49,44.61,44.36,44.53,4300
ALFI,27-Apr-2018,25.36,25.36,25.36,25.36,0
ALN,27-Apr-2018,0.17,0.17,0.16,0.17,159200
ALO,27-Apr-2018,2,2,1.94,1.95,51200
ALTS,27-Apr-2018,37.595,37.595,37.595,37.595,300
AMJ,27-Apr-2018,25.68,26.08,25.64,25.92,3745500
AMJL,27-Apr-2018,16.6,16.6,16.25,16.55,2900
AMLP,27-Apr-2018,10.06,10.14,10.01,10.09,11038700
AMPE,27-Apr-2018,2.88,2.97,2.81,2.89,585300
AMS,27-Apr-2018,2.4,2.4,2.395,2.395,1000
AMU,27-Apr-2018,16.24,16.3,16.17,16.22,65300
AMZA,27-Apr-2018,7.31,7.335,7.25,7.3,445300
ANGL,27-Apr-2018,29.1,29.14,29.07,29.11,163000
AOA,27-Apr-2018,53.75,53.76,53.6,53.7,87500
AOK,27-Apr-2018,34.13,34.13,34.03,34.09,33000
AOM,27-Apr-2018,37.57,37.705,37.51,37.54,514400
AOR,27-Apr-2018,44.52,44.56,44.45,44.53,792500
APHB,27-Apr-2018,1.08,1.11,1.08,1.1,118900
APT,27-Apr-2018,3.3,3.35,3.25,3.35,16600
ARCM,27-Apr-2018,100.33,100.33,100.33,100.33,0
ARGT,27-Apr-2018,34.5,34.82,34.23,34.7,56400
ARKG,27-Apr-2018,26.16,26.16,25.61,25.93,167300
ARKK,27-Apr-2018,39.89,40,38.93,39.38,126100
ARKQ,27-Apr-2018,33,33,32.497,32.735,12200
ARKW,27-Apr-2018,50.3,50.33,49.19,49.74,150400
ARN.P,27-Apr-2018,86.5,86.5,86.5,86.5,200
ASB.W,27-Apr-2018,6.75,6.9,6.75,6.9,600
ASEA,27-Apr-2018,17.81,17.84,17.76,17.84,2400
ASHR,27-Apr-2018,29.73,29.77,29.53,29.71,283100
ASHS,27-Apr-2018,33.55,33.65,33.55,33.65,5200
ASHX,27-Apr-2018,20.49,20.58,20.49,20.58,300
ASM,27-Apr-2018,1.42,1.43,1.41,1.43,59800
AST,27-Apr-2018,1.35,1.35,1.25,1.3,104300
ATMP,27-Apr-2018,19.46,19.65,19.42,19.65,38700
ATNM,27-Apr-2018,0.36,0.365,0.346,0.347,1079500
AUG,27-Apr-2018,1.31,1.34,1.3,1.32,50000
AUMN,27-Apr-2018,0.4,0.41,0.4,0.41,69100
AUSE,27-Apr-2018,55.94,56.08,55.94,56.08,500
AWX,27-Apr-2018,2.07,2.07,2.07,2.07,100
AXJL,27-Apr-2018,69.58,69.905,69.39,69.905,1400
AXJV,27-Apr-2018,36.82,36.82,36.82,36.82,400
AXU,27-Apr-2018,1.56,1.56,1.52,1.53,89900
BAB,27-Apr-2018,29.61,29.61,29.5,29.51,134600
BAR,27-Apr-2018,132.01,132.01,132.01,132.01,100
BBC,27-Apr-2018,31.63,31.7,31.34,31.54,8600
BBP,27-Apr-2018,40.79,40.79,40.79,40.79,700
BBRC,27-Apr-2018,19.29,19.3,19.25,19.25,8500
BCD,27-Apr-2018,26.77,26.77,26.77,26.77,800
BCI,27-Apr-2018,24.82,24.93,24.76,24.93,35600
BCM,27-Apr-2018,30.52,30.53,30.46,30.52,4800
BCV,27-Apr-2018,21.39,21.39,21.27,21.32,10000
BDCL,27-Apr-2018,14.25,14.46,14.21,14.4,83300
BDCS,27-Apr-2018,19.45,19.5,19.42,19.5,12300
BDCZ,27-Apr-2018,20.1,20.1,20.1,20.1,400
BDD,27-Apr-2018,10.07,10.07,10.07,10.07,100
BDL,27-Apr-2018,24.95,24.95,24.95,24.95,300
BDR,27-Apr-2018,1.12,1.12,1.07,1.1,91800
BDRY,27-Apr-2018,21.5,21.75,21.5,21.75,200
BEF,27-Apr-2018,27.51,27.63,27.51,27.63,2100
BEMO,27-Apr-2018,33.15,33.15,32.52,32.59,6100
BERN,27-Apr-2018,27.55,27.55,27.55,27.55,0
BFOR,27-Apr-2018,41.73,41.83,41.7,41.79,5100
BFY,27-Apr-2018,12.98,13.11,12.94,13.02,42400
BGI,27-Apr-2018,1.15,1.18,1.15,1.18,3700
BGSF,27-Apr-2018,18.97,19.16,18.44,18.75,8100
BHB,27-Apr-2018,29.98,29.98,29.51,29.52,19200
BHV,27-Apr-2018,16.77,16.77,15.94,15.94,300
BIBL,27-Apr-2018,26.1,26.18,26.08,26.17,4700
BIL,27-Apr-2018,91.54,91.55,91.54,91.55,295800
BIV,27-Apr-2018,80.75,80.8,80.71,80.75,538500
BIZD,27-Apr-2018,15.95,16.12,15.95,16.06,38300
BJK,27-Apr-2018,46.76,46.91,46.54,46.91,6800
BJO,27-Apr-2018,47.4,48.21,47.325,48.127,35900
BKF,27-Apr-2018,45.14,45.29,44.915,45.15,14700
BKJ,27-Apr-2018,17.05,17.1,17.05,17.05,2100
BKLN,27-Apr-2018,23.13,23.14,23.11,23.13,3944600
BLE,27-Apr-2018,13.58,13.78,13.58,13.62,113400
BLES,27-Apr-2018,28.37,28.43,28.37,28.4,5400
BLHY,27-Apr-2018,24.51,24.55,24.41,24.5,19600
BLJ,27-Apr-2018,13.65,13.69,13.65,13.66,700
BLOK,27-Apr-2018,19.34,19.4,19.18,19.22,53400
BLV,27-Apr-2018,88.51,88.63,88.35,88.61,89700
BND,27-Apr-2018,78.94,79.04,78.94,79.01,1407200
BNO,27-Apr-2018,20.47,20.63,20.47,20.5,154000
BOIL,27-Apr-2018,27.49,27.53,27.08,27.125,56200
BOND,27-Apr-2018,102.74,102.97,102.74,102.96,62600
BOON,27-Apr-2018,26.051,26.1,25.99,26.085,3100
BOSS,27-Apr-2018,18.29,18.29,18.29,18.29,100
