Symbol,Date,Open,High,Low,Close,Volume,OpenInt
AH,02-Apr-2018 09:00,87.37,87.39,87.25,87.29,0,0
AH,02-Apr-2018 09:05,87.28,87.3,87.24,87.26,0,0
AH,02-Apr-2018 09:10,87.26,87.26,87.22,87.23,0,0
AH,02-Apr-2018 09:15,87.24,87.28,87.24,87.28,0,0
AH,02-Apr-2018 09:20,87.28,87.31,87.27,87.28,0,0
AH,02-Apr-2018 09:25,87.31,87.32,87.27,87.27,0,0
AH,02-Apr-2018 09:30,87.26,87.31,87.24,87.29,0,0
AH,02-Apr-2018 09:35,87.27,87.32,87.25,87.32,0,0
AH,02-Apr-2018 09:40,87.31,87.32,87.27,87.28,0,0
AH,02-Apr-2018 09:45,87.27,87.27,87.11,87.18,0,0
AH,02-Apr-2018 09:50,87.19,87.22,87.15,87.18,0,0
AH,02-Apr-2018 09:55,87.13,87.16,87.09,87.11,0,0
AH,02-Apr-2018 10:00,87.1,87.11,87.07,87.08,0,0
AH,02-Apr-2018 10:05,87.08,87.11,87.05,87.11,0,0
AH,02-Apr-2018 10:10,87.11,87.17,87.09,87.14,0,0
AH,02-Apr-2018 10:15,87.13,87.13,87.08,87.09,0,0
AH,02-Apr-2018 10:20,87.1,87.11,87.04,87.08,0,0
AH,02-Apr-2018 10:25,87.07,87.12,87.06,87.11,0,0
AH,02-Apr-2018 10:30,87.1,87.1,87,87,0,0
AH,02-Apr-2018 10:35,87,87,86.89,86.89,0,0
AH,02-Apr-2018 10:40,86.89,86.92,86.86,86.92,0,0
AH,02-Apr-2018 10:45,86.91,87,86.9,86.99,0,0
AH,02-Apr-2018 10:50,86.98,86.98,86.92,86.92,0,0
AH,02-Apr-2018 10:55,86.94,86.99,86.93,86.95,0,0
AH,02-Apr-2018 11:00,86.96,86.96,86.91,86.91,0,0
AH,02-Apr-2018 11:05,86.92,86.94,86.86,86.87,0,0
AH,02-Apr-2018 11:10,86.86,86.88,86.83,86.87,0,0
AH,02-Apr-2018 11:15,86.87,86.94,86.87,86.94,0,0
AH,02-Apr-2018 11:20,86.93,86.94,86.91,86.92,0,0
AH,02-Apr-2018 11:25,86.9,86.96,86.9,86.95,0,0
AH,02-Apr-2018 11:30,86.95,86.98,86.95,86.96,0,0
AH,02-Apr-2018 11:35,86.96,86.97,86.92,86.94,0,0
AH,02-Apr-2018 11:40,86.93,86.95,86.89,86.95,0,0
AH,02-Apr-2018 11:45,86.94,86.95,86.9,86.95,0,0
AH,02-Apr-2018 11:50,86.95,86.96,86.93,86.93,0,0
AH,02-Apr-2018 11:55,86.93,86.93,86.89,86.93,0,0
AH,02-Apr-2018 12:00,86.94,86.94,86.91,86.94,0,0
AH,02-Apr-2018 12:05,86.95,86.99,86.95,86.98,0,0
AH,02-Apr-2018 12:10,86.98,86.98,86.96,86.96,0,0
AH,02-Apr-2018 12:15,86.95,86.95,86.92,86.93,0,0
AH,02-Apr-2018 12:20,86.92,86.95,86.92,86.95,0,0
AH,02-Apr-2018 12:25,86.95,86.98,86.95,86.97,0,0
AH,02-Apr-2018 12:30,86.98,86.99,86.96,86.99,0,0
AH,02-Apr-2018 12:35,86.99,86.99,86.95,86.96,0,0
AH,02-Apr-2018 12:40,86.97,86.97,86.92,86.92,0,0
AH,02-Apr-2018 12:45,86.91,86.92,86.89,86.89,0,0
AH,02-Apr-2018 12:50,86.89,86.91,86.88,86.89,0,0
AH,02-Apr-2018 12:55,86.89,86.92,86.89,86.89,0,0
AH,02-Apr-2018 13:00,86.89,86.9,86.87,86.9,0,0
AH,02-Apr-2018 13:05,86.91,86.92,86.89,86.89,0,0
AH,02-Apr-2018 13:10,86.89,86.9,86.85,86.86,0,0
AH,02-Apr-2018 13:15,86.86,86.87,86.85,86.85,0,0
AH,02-Apr-2018 13:20,86.85,86.87,86.84,86.86,0,0
AH,02-Apr-2018 13:25,86.86,86.86,86.81,86.85,0,0
AH,02-Apr-2018 13:30,86.85,86.89,86.84,86.84,0,0
AH,02-Apr-2018 13:35,86.84,86.84,86.83,86.83,0,0
AH,02-Apr-2018 13:40,86.83,86.83,86.82,86.83,0,0
AH,02-Apr-2018 13:45,86.83,86.83,86.83,86.83,0,0
AH,02-Apr-2018 13:50,86.83,86.83,86.83,86.83,0,0
AH,02-Apr-2018 13:55,86.83,86.83,86.83,86.83,0,0
AH,02-Apr-2018 14:00,86.83,86.83,86.83,86.83,0,0
AH,02-Apr-2018 14:05,86.83,86.83,86.83,86.83,0,0
AH,02-Apr-2018 14:10,86.83,86.83,86.83,86.83,0,0
AH,02-Apr-2018 14:15,86.83,86.83,86.83,86.83,0,0
AH,02-Apr-2018 14:20,86.83,86.83,86.83,86.83,0,0
AH,02-Apr-2018 14:50,86.83,86.83,86.83,86.83,0,0
AHM18,02-Apr-2018 11:45,86.9,86.9,86.9,86.9,131,0
AHM18,02-Apr-2018 13:15,87,87,87,87,10,0
AHM18,02-Apr-2018 13:25,86.9,86.9,86.9,86.9,1,0
CSF19,02-Apr-2018 09:00,126,126.5,124.5,126.5,0,0
CSF19,02-Apr-2018 09:05,126.5,127.75,126.5,127.25,0,0
CSF19,02-Apr-2018 09:10,127.25,128,127.25,128,0,0
CSF19,02-Apr-2018 09:15,128,128,126.75,126.75,0,0
CSF19,02-Apr-2018 09:20,126.75,128.75,126.25,126.75,0,0
CSF19,02-Apr-2018 09:25,126.75,127.75,126,127.5,0,0
CSF19,02-Apr-2018 09:30,127.5,128.5,126.5,126.75,0,0
CSF19,02-Apr-2018 09:35,126.75,127.25,124.75,124.75,0,0
CSF19,02-Apr-2018 09:40,124.75,127.5,124.75,127,0,0
CSF19,02-Apr-2018 09:45,127,129.5,127,129.5,0,0
CSF19,02-Apr-2018 09:50,129.5,129.5,128.25,129,0,0
CSF19,02-Apr-2018 09:55,129,129.75,127.5,128,0,0
CSF19,02-Apr-2018 10:00,128,129,128,129,0,0
CSF19,02-Apr-2018 10:05,129,129.25,127.25,128.75,0,0
CSF19,02-Apr-2018 10:10,128.75,130,127.75,129.25,0,0
CSF19,02-Apr-2018 10:15,129.25,130.75,129.25,130.75,0,0
CSF19,02-Apr-2018 10:20,130.75,131.25,129.75,129.75,0,0
CSF19,02-Apr-2018 10:25,129.75,131.5,129.25,131.5,0,0
CSF19,02-Apr-2018 10:30,131.5,131.5,129.25,129.75,0,0
CSF19,02-Apr-2018 10:35,129.75,130.25,129.75,130.25,0,0
CSF19,02-Apr-2018 10:40,130.25,130.5,129,129,0,0
CSF19,02-Apr-2018 10:45,129,129.25,128.5,128.5,0,0
CSF19,02-Apr-2018 10:50,128.5,129,128.5,129,0,0
CSF19,02-Apr-2018 10:55,129,129.5,129,129.5,0,0
CSF19,02-Apr-2018 11:00,129.5,130.75,129.5,130.25,0,0
CSF19,02-Apr-2018 11:05,130.25,131.5,128,128,0,0
CSF19,02-Apr-2018 11:10,128,128.25,127.75,127.75,0,0
