Symbol,Date,Open,High,Low,Close,Volume,OpenInt
AH,02-Apr-2018,87.92,88.09,86.81,86.83,200,45454
AH.C,02-Apr-2018,87.7,87.7,86.9,86.9,6934,45530
AHH19,02-Apr-2018,87.4,87.4,86.9,86.9,0,0
AHM18,02-Apr-2018,87.7,87.7,86.9,86.9,200,45454
AHU18,02-Apr-2018,87.4,87.4,86.9,86.9,0,0
AHZ18,02-Apr-2018,87.4,87.4,86.9,86.9,0,0
AHZ19,02-Apr-2018,87.4,87.4,86.9,86.9,0,0
AHZ20,02-Apr-2018,87.4,87.4,86.9,86.9,0,0
AHZ21,02-Apr-2018,87.4,87.4,86.9,86.9,0,0
AHZ22,02-Apr-2018,87.4,87.4,86.9,86.9,0,0
AK,02-Apr-2018,1.41,1.415,1.41,1.415,489,1903
AK.C,02-Apr-2018,1.477,1.477,1.434,1.434,105,422
AKF19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKF20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKF21,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKG19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKG20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKG21,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKH19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKH20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKH21,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKJ18,02-Apr-2018,1.454,1.454,1.41,1.41,1,72
AKJ19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKJ20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKK18,02-Apr-2018,1.473,1.473,1.427,1.427,302,958
AKK19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKK20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKM18,02-Apr-2018,1.477,1.477,1.434,1.434,105,422
AKM19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKM20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKN18,02-Apr-2018,1.477,1.477,1.44,1.44,63,269
AKN19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKN20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKQ18,02-Apr-2018,1.478,1.478,1.445,1.445,10,18
AKQ19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKQ20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKU18,02-Apr-2018,1.479,1.479,1.45,1.45,8,108
AKU19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKU20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKV18,02-Apr-2018,1.472,1.472,1.445,1.445,0,1
AKV19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKV20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKX18,02-Apr-2018,1.456,1.456,1.435,1.435,0,16
AKX19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKX20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKZ18,02-Apr-2018,1.44,1.44,1.43,1.43,0,39
AKZ19,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
AKZ20,02-Apr-2018,1.43,1.439,1.43,1.439,0,0
BO,02-Apr-2018,31.87,31.87,30.39,30.39,82717,512679
BO.C,02-Apr-2018,31.87,32.04,31.87,32.04,71903,224146
BOF19,02-Apr-2018,32.99,33.17,32.99,33.17,677,11324
BOF20,02-Apr-2018,33.89,34.09,33.89,34.09,0,64
BOH19,02-Apr-2018,33.22,33.42,33.22,33.42,836,8960
BOH20,02-Apr-2018,34.11,34.32,34.11,34.32,0,129
BOK18,02-Apr-2018,31.87,32.04,31.87,32.04,44344,215778
BOK19,02-Apr-2018,33.44,33.64,33.44,33.64,636,3340
BOK20,02-Apr-2018,34.09,34.26,34.09,34.26,0,128
BON18,02-Apr-2018,32.13,32.3,32.13,32.3,21928,134417
BON19,02-Apr-2018,33.66,33.84,33.66,33.84,306,2534
BON20,02-Apr-2018,34.24,34.43,34.24,34.43,0,77
BON21,02-Apr-2018,34.14,34.33,34.14,34.33,0,0
BOQ18,02-Apr-2018,32.26,32.43,32.26,32.43,3315,27961
BOQ19,02-Apr-2018,33.7,33.87,33.7,33.87,2,403
BOQ20,02-Apr-2018,34.23,34.42,34.23,34.42,0,0
BOU18,02-Apr-2018,32.37,32.56,32.37,32.56,2625,21022
BOU19,02-Apr-2018,33.69,33.88,33.69,33.88,2,414
BOU20,02-Apr-2018,34.23,34.42,34.23,34.42,0,0
BOV18,02-Apr-2018,32.5,32.69,32.5,32.69,509,17748
BOV19,02-Apr-2018,33.63,33.83,33.63,33.83,0,375
BOV20,02-Apr-2018,34.23,34.42,34.23,34.42,0,0
BOV21,02-Apr-2018,34.14,34.33,34.14,34.33,0,0
BOZ18,02-Apr-2018,32.79,32.95,32.79,32.95,7529,66226
BOZ19,02-Apr-2018,33.76,33.98,33.76,33.98,8,1779
BOZ20,02-Apr-2018,34.14,34.33,34.14,34.33,0,0
BOZ21,02-Apr-2018,34.14,34.33,34.14,34.33,0,0
C,02-Apr-2018,385.25,385.75,385.25,385.75,466814,1864403
C.C,02-Apr-2018,387.75,387.75,387.25,387.25,377913,598409
CH19,02-Apr-2018,418.25,418.25,418.25,418.25,13611,83667
CH20,02-Apr-2018,420.5,422.5,420.5,422.5,52,480
CK18,02-Apr-2018,387.75,387.75,387.25,387.25,207532,581267
CK19,02-Apr-2018,422.25,422.5,422.25,422.5,2623,16747
CK20,02-Apr-2018,424.5,426.25,424.5,426.25,0,44
CN18,02-Apr-2018,396.25,396.25,395.75,395.75,105620,516369
CN19,02-Apr-2018,425.5,426.25,425.5,426.25,4028,25094
CN20,02-Apr-2018,428.25,430.5,428.25,430.5,0,440
CN21,02-Apr-2018,422.75,423.75,422.75,423.75,0,0
CS.C,02-Apr-2018,149.25,152,142.5,147,0,0
CSF19,02-Apr-2018,132.75,134.25,124.5,128.75,0,0
CSH19,02-Apr-2018,119.25,120.5,113.5,119.5,0,0
CSK18,02-Apr-2018,149.25,152,142.5,147,0,0
CSK19,02-Apr-2018,106.75,117.5,106.75,113,0,0
CSN18,02-Apr-2018,147,149.75,140.75,146,0,0
CSN19,02-Apr-2018,114,117,108.75,112.25,0,0
CSQ18,02-Apr-2018,139.75,142.25,133,140.5,0,0
CSQ19,02-Apr-2018,112.25,121,112,112.75,0,0
CSU18,02-Apr-2018,141.75,143.75,134.75,141.5,0,0
CSV18,02-Apr-2018,139.5,143.25,131.5,138,0,0
CSZ18,02-Apr-2018,138.5,140.75,133.25,137,0,0
CU18,02-Apr-2018,403.25,403.25,402.75,402.75,33264,220916
CU19,02-Apr-2018,409,412,409,412,704,3937
CU20,02-Apr-2018,418.75,421,418.75,421,0,28
CZ18,02-Apr-2018,411.5,411.5,411.25,411.25,97044,388970
CZ19,02-Apr-2018,412.25,414.25,412.25,414.25,2307,25730
CZ20,02-Apr-2018,414.5,415.5,414.5,415.5,23,675
CZ21,02-Apr-2018,418.25,420,418.25,420,6,39
D1,02-Apr-2018,24.36,24.36,21.98,22.08,0,0
DH,02-Apr-2018,299.67,300.18,293.67,295.48,408,23263
DH.C,02-Apr-2018,299.1,299.1,293.5,295.4,2333,23249
DHH19,02-Apr-2018,292.6,292.6,288.5,288.5,0,0
DHM18,02-Apr-2018,299.1,299.3,293.4,295.4,408,23263
DHU18,02-Apr-2018,296.4,296.4,292.2,292.2,0,0
DHZ18,02-Apr-2018,294.4,294.4,290.3,290.3,0,0
DJ,02-Apr-2018,24076.6,24123.8,23344.52,23644.19,0,0
F0.C,02-Apr-2018,245,245,245,245,0,350
F0J18,02-Apr-2018,245,245,245,245,0,350
F3,02-Apr-2018,241,241,241,241,200,200
F3.C,02-Apr-2018,241,241,241,241,200,200
F3F19,02-Apr-2018,242.75,242.75,242.75,242.75,0,0
F3G19,02-Apr-2018,242.75,242.75,242.75,242.75,0,0
F3J18,02-Apr-2018,240,240,240,240,0,800
F3K18,02-Apr-2018,241,241,241,241,0,200
F3M18,02-Apr-2018,241,241,241,241,0,0
F3N18,02-Apr-2018,241.5,241.5,241.5,241.5,0,0
F3Q18,02-Apr-2018,242,242,242,242,0,0
F3U18,02-Apr-2018,242.25,242.25,242.25,242.25,0,0
F3V18,02-Apr-2018,242,242,242,242,0,0
F3X18,02-Apr-2018,242.25,242.25,242.25,242.25,0,0
F3Z18,02-Apr-2018,242.5,242.5,242.5,242.5,0,0
F4,02-Apr-2018,231.5,231.5,231.5,231.5,50,100
F4.C,02-Apr-2018,231.5,231.5,231.5,231.5,50,100
F4J18,02-Apr-2018,238.5,238.5,238.5,238.5,0,225
F4K18,02-Apr-2018,231.5,231.5,231.5,231.5,0,100
F5.C,02-Apr-2018,228.5,228.5,224,224,15,195
F5J18,02-Apr-2018,229,229,227.5,227.5,0,435
F5K18,02-Apr-2018,228.5,228.5,224,224,0,195
F5M18,02-Apr-2018,225,225,222.5,222.5,0,105
F5N18,02-Apr-2018,222.5,222.5,218.5,218.5,0,45
F5Q18,02-Apr-2018,220,220,217.5,217.5,0,135
F5U18,02-Apr-2018,220,220,220,220,15,45
F5V18,02-Apr-2018,225,225,225,225,0,45
F5X18,02-Apr-2018,225,225,225,225,0,45
F5Z18,02-Apr-2018,225,225,225,225,0,45
F7.C,02-Apr-2018,147,147,147,147,15,75
F7J18,02-Apr-2018,179,179.5,179,179.5,0,165
F7Q18,02-Apr-2018,147,147,147,147,15,75
F7U18,02-Apr-2018,146,146,146,146,15,45
F7V18,02-Apr-2018,146,146,146,146,15,45
F7X18,02-Apr-2018,145,145,145,145,15,15
F7Z18,02-Apr-2018,145,145,145,145,15,15
F8.C,02-Apr-2018,359,359,358,358,15,30
F8J18,02-Apr-2018,376.5,377,376.5,377,15,180
F8K18,02-Apr-2018,359,359,358,358,0,30
F8N18,02-Apr-2018,346,346,346,346,0,45
F8Q18,02-Apr-2018,346.5,346.5,346.5,346.5,0,15
F8U18,02-Apr-2018,348.5,348.5,348.5,348.5,0,15
FF,02-Apr-2018,98.32,98.32,98.32,98.32,2516,202252
FF.C,02-Apr-2018,97.86,97.875,97.86,97.875,31704,297680
FFF19,02-Apr-2018,97.86,97.875,97.86,97.875,18329,301465
FFF20,02-Apr-2018,97.52,97.55,97.52,97.55,528,14379
FFF21,02-Apr-2018,97.485,97.5,97.485,97.5,0,13
FFG19,02-Apr-2018,97.85,97.865,97.85,97.865,6351,123417
FFG20,02-Apr-2018,97.54,97.565,97.54,97.565,78,4567
