Symbol,Date,Open,High,Low,Close,Volume,OpenInt
BG,27-Apr-2018,9228.2,9368,8920,8984.5,6700,5723
BGK18,27-Apr-2018,9120,9400,8980,9140,6092,4336
BGM18,27-Apr-2018,9170,9400,9000,9150,506,1027
N2K18,27-Apr-2018,4,4,3.8,3.8,0,0
N2M18,27-Apr-2018,4,4,3.8,3.8,0,0
Q6,27-Apr-2018,16.18,17.27,15.73,15.82,0,0
R3,27-Apr-2018,20.35,22.43,20.35,20.52,0,0
VA,27-Apr-2018,17.4,18.1,15.78,16.89,0,0
VI,27-Apr-2018,16.22,16.77,15.25,15.41,180071,362132
VI.C,27-Apr-2018,16.9,17.35,16.35,16.43,93615,0
VIK18,27-Apr-2018,16.9,17.35,16.35,16.425,93615,147274
VIM18,27-Apr-2018,17,17.33,16.75,16.825,59190,81355
VIN18,27-Apr-2018,17.3,17.57,17.16,17.225,13781,39855
VIQ18,27-Apr-2018,17.42,17.67,17.33,17.375,6838,27605
VIU18,27-Apr-2018,17.7,17.93,17.63,17.675,3217,25149
VIV18,27-Apr-2018,18.1,18.31,18.03,18.075,1798,26397
VIX18,27-Apr-2018,18,18.22,17.95,18.025,1248,11445
VN,27-Apr-2018,11.01,11.17,10.79,10.99,0,0
W1,27-Apr-2018,25.4,26.36,25.4,25.59,0,0
W3,27-Apr-2018,7.11,7.92,6.77,6.94,0,0
Y8,27-Apr-2018,27.13,28.11,25.72,26.53,0,0
Y9,27-Apr-2018,18.74,19.27,18.27,18.32,0,0
