Symbol,Date,Open,High,Low,Close,Volume,OpenInt
A6,27-Apr-2018,0.7552,0.7584,0.7532,0.758,110478,138487
A6.C,27-Apr-2018,0.7553,0.7585,0.7532,0.758,115949,130721
A6H19,27-Apr-2018,0.7573,0.76,0.7573,0.76,0,8
A6H20,27-Apr-2018,0.7607,0.7634,0.7607,0.7634,0,0
A6H21,27-Apr-2018,0.761,0.7638,0.761,0.7638,0,0
A6H22,27-Apr-2018,0.7608,0.7637,0.7608,0.7637,0,0
A6H23,27-Apr-2018,0.7606,0.7635,0.7606,0.7635,0,0
A6K18,27-Apr-2018,0.7557,0.7582,0.754,0.758,264,795
A6M18,27-Apr-2018,0.7553,0.7585,0.7532,0.758,109599,135732
A6M19,27-Apr-2018,0.7582,0.7609,0.7582,0.7609,0,5
A6M20,27-Apr-2018,0.7611,0.7639,0.7611,0.7639,0,0
A6M21,27-Apr-2018,0.7609,0.7637,0.7609,0.7637,0,0
A6M22,27-Apr-2018,0.7607,0.7636,0.7607,0.7636,0,0
A6N18,27-Apr-2018,0.7549,0.7582,0.7539,0.7582,263,339
A6Q18,27-Apr-2018,0.7549,0.7583,0.7544,0.7583,253,175
A6U18,27-Apr-2018,0.7562,0.7586,0.7537,0.7585,97,1021
A6U19,27-Apr-2018,0.759,0.7617,0.759,0.7617,0,0
A6U20,27-Apr-2018,0.761,0.7638,0.761,0.7638,0,0
A6U21,27-Apr-2018,0.7609,0.7637,0.7609,0.7637,0,0
A6U22,27-Apr-2018,0.7607,0.7636,0.7607,0.7636,0,0
A6Z18,27-Apr-2018,0.7542,0.7592,0.7542,0.7592,2,412
A6Z19,27-Apr-2018,0.7598,0.7626,0.7598,0.7626,0,0
A6Z20,27-Apr-2018,0.761,0.7638,0.761,0.7638,0,0
A6Z21,27-Apr-2018,0.7608,0.7637,0.7608,0.7637,0,0
A6Z22,27-Apr-2018,0.7607,0.7636,0.7607,0.7636,0,0
AD,27-Apr-2018,0.7552,0.7584,0.7532,0.758,110478,138487
AD.C,27-Apr-2018,0.7553,0.758,0.7553,0.758,115949,130721
ADH19,27-Apr-2018,0.7573,0.76,0.7573,0.76,0,8
ADH20,27-Apr-2018,0.7607,0.7634,0.7607,0.7634,0,0
ADH21,27-Apr-2018,0.761,0.7638,0.761,0.7638,0,0
ADH22,27-Apr-2018,0.7608,0.7637,0.7608,0.7637,0,0
ADH23,27-Apr-2018,0.7606,0.7635,0.7606,0.7635,0,0
ADK18,27-Apr-2018,0.7553,0.758,0.7553,0.758,264,795
ADM18,27-Apr-2018,0.7553,0.758,0.7553,0.758,109599,135732
ADM19,27-Apr-2018,0.7582,0.7609,0.7582,0.7609,0,5
ADM20,27-Apr-2018,0.7611,0.7639,0.7611,0.7639,0,0
ADM21,27-Apr-2018,0.7609,0.7637,0.7609,0.7637,0,0
ADM22,27-Apr-2018,0.7607,0.7636,0.7607,0.7636,0,0
ADN18,27-Apr-2018,0.7555,0.7582,0.7555,0.7582,263,339
ADQ18,27-Apr-2018,0.7556,0.7583,0.7556,0.7583,253,175
ADU18,27-Apr-2018,0.7558,0.7585,0.7558,0.7585,97,1021
ADU19,27-Apr-2018,0.759,0.7617,0.759,0.7617,0,0
ADU20,27-Apr-2018,0.761,0.7638,0.761,0.7638,0,0
ADU21,27-Apr-2018,0.7609,0.7637,0.7609,0.7637,0,0
ADU22,27-Apr-2018,0.7607,0.7636,0.7607,0.7636,0,0
ADZ18,27-Apr-2018,0.7565,0.7592,0.7565,0.7592,2,412
ADZ19,27-Apr-2018,0.7598,0.7626,0.7598,0.7626,0,0
ADZ20,27-Apr-2018,0.761,0.7638,0.761,0.7638,0,0
ADZ21,27-Apr-2018,0.7608,0.7637,0.7608,0.7637,0,0
ADZ22,27-Apr-2018,0.7607,0.7636,0.7607,0.7636,0,0
B6,27-Apr-2018,1.3912,1.3934,1.3747,1.3778,164952,192474
B6.C,27-Apr-2018,1.3943,1.3963,1.3777,1.3818,156933,186785
B6H19,27-Apr-2018,1.408,1.408,1.3971,1.4007,6,192
B6H20,27-Apr-2018,1.4392,1.4392,1.4259,1.4259,0,0
B6H21,27-Apr-2018,1.4615,1.4615,1.4485,1.4485,0,0
B6H22,27-Apr-2018,1.4833,1.4833,1.4707,1.4707,0,0
B6H23,27-Apr-2018,1.5051,1.5051,1.4929,1.4929,0,0
B6K18,27-Apr-2018,1.3922,1.3929,1.3764,1.3797,2750,923
B6M18,27-Apr-2018,1.3943,1.3963,1.3777,1.3818,156933,186785
B6M19,27-Apr-2018,1.406,1.407,1.406,1.407,1,20
B6M20,27-Apr-2018,1.4451,1.4451,1.4319,1.4319,0,0
B6M21,27-Apr-2018,1.4669,1.4669,1.4541,1.4541,0,0
B6M22,27-Apr-2018,1.4888,1.4888,1.4763,1.4763,0,0
B6N18,27-Apr-2018,1.3835,1.384,1.3812,1.384,2127,765
B6Q18,27-Apr-2018,1.3866,1.3866,1.383,1.3857,2430,487
B6U18,27-Apr-2018,1.4004,1.4018,1.3845,1.3879,683,2791
B6U19,27-Apr-2018,1.4268,1.4268,1.4133,1.4133,0,0
B6U20,27-Apr-2018,1.4506,1.4506,1.4374,1.4374,0,0
B6U21,27-Apr-2018,1.4724,1.4724,1.4596,1.4596,0,0
B6U22,27-Apr-2018,1.4946,1.4946,1.4822,1.4822,0,0
B6Z18,27-Apr-2018,1.4033,1.4036,1.3935,1.3942,22,511
B6Z19,27-Apr-2018,1.433,1.433,1.4196,1.4196,0,0
B6Z20,27-Apr-2018,1.456,1.456,1.443,1.443,0,0
B6Z21,27-Apr-2018,1.4778,1.4778,1.4652,1.4652,0,0
B6Z22,27-Apr-2018,1.5001,1.5001,1.4878,1.4878,0,0
BA.C,27-Apr-2018,1130.5,1130.5,1130.5,1130.5,0,0
BAH19,27-Apr-2018,1124.1,1124.1,1124.1,1124.1,0,0
BAM18,27-Apr-2018,1130.5,1130.5,1130.5,1130.5,0,0
BAU18,27-Apr-2018,1128.5,1128.5,1128.5,1128.5,0,0
BAZ18,27-Apr-2018,1126.1,1126.1,1126.1,1126.1,0,0
BD.C,27-Apr-2018,247,247.5,244.5,246.975,78,951
BDF19,27-Apr-2018,237.6,237.6,237.6,237.6,0,9
BDF20,27-Apr-2018,181,181,181,181,0,0
BDG19,27-Apr-2018,235.275,235.275,235.275,235.275,0,8
BDG20,27-Apr-2018,181,181,181,181,0,0
BDH19,27-Apr-2018,238,238,238,238,5,11
BDH20,27-Apr-2018,181,181,181,181,0,0
BDJ18,27-Apr-2018,225.4,225.4,225.375,225.4,0,1296
BDJ19,27-Apr-2018,237.2,237.2,237.2,237.2,0,0
BDK18,27-Apr-2018,240.475,240.475,239,239.25,23,1247
BDK19,27-Apr-2018,235.1,235.1,235.1,235.1,0,0
BDM18,27-Apr-2018,246.275,246.275,243,244,16,1103
BDM19,27-Apr-2018,235,235,235,235,0,0
BDN18,27-Apr-2018,247,247.5,244.5,246.975,78,951
BDN19,27-Apr-2018,230,230,230,230,0,0
BDQ18,27-Apr-2018,248,248.475,247,248.4,71,657
BDQ19,27-Apr-2018,215,220,215,220,0,0
BDU18,27-Apr-2018,248.9,249,247.875,248,59,549
BDU19,27-Apr-2018,215,220,215,220,0,0
BDV18,27-Apr-2018,247.75,248,247.475,247.5,32,515
BDV19,27-Apr-2018,215,220,215,220,0,0
BDX18,27-Apr-2018,247.375,247.375,246.125,247,18,382
BDX19,27-Apr-2018,215,220,215,220,0,0
BDZ18,27-Apr-2018,244.925,245.225,244.925,245,15,290
BDZ19,27-Apr-2018,215,220,215,220,0,0
BI,27-Apr-2018,1060.98,1060.98,1047.83,1050.17,429,6590
BI.C,27-Apr-2018,1061.4,1061.8,1048.9,1051.5,429,6590
BIH19,27-Apr-2018,1046.3,1051.2,1046.3,1051.2,0,0
