Symbol,Date,Open,High,Low,Close,Volume,OpenInt
AL,27-Apr-2018,2300,2300,2300,2300,0,0
AL.C,27-Apr-2018,2300,2300,2300,2300,0,0
ALF19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALF20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALF21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALG19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALG20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALG21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALH19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALH20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALH21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALJ19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALJ20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALJ21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALK18,27-Apr-2018,2300,2300,2300,2300,0,0
ALK19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALK20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALK21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALM18,27-Apr-2018,2305,2305,2305,2305,0,0
ALM19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALM20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALM21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALN18,27-Apr-2018,2309.25,2309.25,2309.25,2309.25,0,0
ALN19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALN20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALN21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALQ18,27-Apr-2018,2313.5,2313.5,2313.5,2313.5,0,0
ALQ19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALQ20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALQ21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALU18,27-Apr-2018,2318.75,2318.75,2318.75,2318.75,0,0
ALU19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALU20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALU21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALV18,27-Apr-2018,2323,2323,2323,2323,0,0
ALV19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALV20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALV21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALX18,27-Apr-2018,2328.25,2328.25,2328.25,2328.25,0,0
ALX19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALX20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALX21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALZ18,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALZ19,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALZ20,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
ALZ21,27-Apr-2018,2332.5,2332.5,2332.5,2332.5,0,0
GC,27-Apr-2018,1316.67,1324.9,1315.63,1322.78,249552,495761
GC.C,27-Apr-2018,1318,1326.4,1315.8,1323.4,295688,360419
GCG19,27-Apr-2018,1348.5,1351.7,1348.4,1348.9,45,2580
GCG20,27-Apr-2018,1383.3,1388.9,1383.3,1388.9,0,0
GCJ19,27-Apr-2018,1348.8,1355.4,1348.8,1355.3,13,3188
GCK18,27-Apr-2018,1315.3,1322.3,1312.8,1320.3,622,413
GCM18,27-Apr-2018,1318,1326.4,1315.8,1323.4,241653,354871
GCM19,27-Apr-2018,1361,1362.1,1361,1362.1,16,3102
GCM20,27-Apr-2018,1397,1402.6,1397,1402.6,0,274
GCM21,27-Apr-2018,1439,1444.6,1439,1444.6,0,186
GCM22,27-Apr-2018,1481.1,1486.7,1481.1,1486.7,0,5
GCM23,27-Apr-2018,1522.6,1528.2,1522.6,1528.2,0,5
GCN18,27-Apr-2018,1326.5,1326.5,1326.5,1326.5,0,0
GCQ18,27-Apr-2018,1324.1,1332.6,1322.3,1329.7,5213,57886
GCQ19,27-Apr-2018,1363.1,1368.7,1363.1,1368.7,0,80
GCV18,27-Apr-2018,1330.9,1338.5,1329,1336,536,9085
GCV19,27-Apr-2018,1369.9,1375.5,1369.9,1375.5,0,31
GCZ18,27-Apr-2018,1337.9,1345.4,1335.4,1342.5,1444,59533
GCZ19,27-Apr-2018,1376.7,1382.3,1376.7,1382.3,10,3521
GCZ20,27-Apr-2018,1418,1423.6,1418,1423.6,0,788
GCZ21,27-Apr-2018,1460,1465.6,1460,1465.6,0,200
GCZ22,27-Apr-2018,1502,1507.6,1502,1507.6,0,10
GCZ23,27-Apr-2018,1543.2,1548.8,1543.2,1548.8,0,3
GR.C,27-Apr-2018,1319,1326.4,1315.8,1323.4,4989,3902
GRG19,27-Apr-2018,1343.3,1348.9,1343.3,1348.9,0,63
GRG20,27-Apr-2018,1383.3,1388.9,1383.3,1388.9,0,0
GRJ19,27-Apr-2018,1349.7,1355.3,1349.7,1355.3,0,3
GRM18,27-Apr-2018,1319,1326.4,1315.8,1323.4,4692,3614
GRM19,27-Apr-2018,1356.5,1362.1,1356.5,1362.1,0,4
GRQ18,27-Apr-2018,1324.4,1332.2,1322.5,1329.7,62,147
GRQ19,27-Apr-2018,1363.1,1368.7,1363.1,1368.7,0,1
GRV18,27-Apr-2018,1330.4,1338.5,1328.8,1336,29,112
GRV19,27-Apr-2018,1369.9,1375.5,1369.9,1375.5,0,0
GRZ18,27-Apr-2018,1338,1345.3,1335.1,1342.5,605,4049
GRZ19,27-Apr-2018,1376.7,1382.3,1376.7,1382.3,0,5
GW.C,27-Apr-2018,1358.2,1358.2,1358.2,1358.2,0,0
GWG19,27-Apr-2018,1379.2,1379.2,1379.2,1379.2,0,0
GWJ19,27-Apr-2018,1385.6,1385.6,1385.6,1385.6,0,0
GWK18,27-Apr-2018,1358.1,1358.1,1358.1,1358.1,0,0
GWM18,27-Apr-2018,1358.2,1358.2,1358.2,1358.2,0,0
GWN18,27-Apr-2018,1360.8,1360.8,1360.8,1360.8,0,0
GWQ18,27-Apr-2018,1363.5,1363.5,1363.5,1363.5,0,0
GWV18,27-Apr-2018,1367.9,1367.9,1367.9,1367.9,0,0
GWZ18,27-Apr-2018,1373.8,1373.8,1373.8,1373.8,0,0
HG,27-Apr-2018,3.116,3.116,3.046,3.046,135954,240541
HG.C,27-Apr-2018,3.14,3.146,3.052,3.0695,108791,127740
HGF19,27-Apr-2018,3.192,3.192,3.11,3.126,1,585
HGF20,27-Apr-2018,3.2535,3.2535,3.191,3.191,0,131
HGG19,27-Apr-2018,3.1995,3.1995,3.1185,3.1335,2,337
HGG20,27-Apr-2018,3.2545,3.2545,3.192,3.192,0,0
HGH19,27-Apr-2018,3.191,3.192,3.1245,3.1385,2047,11077
HGH20,27-Apr-2018,3.259,3.259,3.196,3.196,0,68
HGH21,27-Apr-2018,3.263,3.263,3.2,3.2,0,1
HGH22,27-Apr-2018,3.2655,3.2655,3.2025,3.2025,0,0
HGH23,27-Apr-2018,3.268,3.268,3.205,3.205,0,0
HGJ19,27-Apr-2018,3.19,3.19,3.133,3.1465,30,308
HGJ20,27-Apr-2018,3.197,3.197,3.197,3.197,0,0
HGK18,27-Apr-2018,3.116,3.121,3.0285,3.046,12508,6930
HGK19,27-Apr-2018,3.156,3.156,3.1395,3.152,311,4017
HGK20,27-Apr-2018,3.261,3.261,3.198,3.198,0,0
HGK21,27-Apr-2018,3.2635,3.2635,3.2005,3.2005,0,0
HGK22,27-Apr-2018,3.266,3.266,3.203,3.203,0,0
HGM18,27-Apr-2018,3.1295,3.133,3.0425,3.0585,1714,5278
HGM19,27-Apr-2018,3.2225,3.2225,3.148,3.1585,0,302
HGN18,27-Apr-2018,3.14,3.146,3.052,3.0695,108791,127740
HGN19,27-Apr-2018,3.2275,3.2275,3.164,3.164,243,2192
HGN20,27-Apr-2018,3.2615,3.2615,3.1985,3.1985,0,0
HGN21,27-Apr-2018,3.264,3.264,3.201,3.201,0,0
HGN22,27-Apr-2018,3.2665,3.2665,3.2035,3.2035,0,0
HGQ18,27-Apr-2018,3.1535,3.1535,3.069,3.081,151,3019
HGQ19,27-Apr-2018,3.234,3.234,3.155,3.171,0,277
HGU18,27-Apr-2018,3.161,3.1665,3.074,3.091,7517,36151
HGU19,27-Apr-2018,3.2385,3.239,3.1595,3.176,20,415
HGU20,27-Apr-2018,3.262,3.262,3.199,3.199,0,0
HGU21,27-Apr-2018,3.2645,3.2645,3.2015,3.2015,0,0
HGU22,27-Apr-2018,3.267,3.267,3.204,3.204,0,0
HGV18,27-Apr-2018,3.128,3.1745,3.084,3.101,77,2194
HGV19,27-Apr-2018,3.244,3.244,3.1815,3.1815,0,275
HGX18,27-Apr-2018,3.1,3.1825,3.094,3.11,24,1707
HGX19,27-Apr-2018,3.2475,3.2475,3.187,3.187,2,278
HGZ18,27-Apr-2018,3.18,3.1825,3.099,3.116,2510,36224
HGZ19,27-Apr-2018,3.251,3.251,3.173,3.1885,6,1034
HGZ20,27-Apr-2018,3.2625,3.2625,3.1995,3.1995,0,1
HGZ21,27-Apr-2018,3.265,3.265,3.202,3.202,0,0
HGZ22,27-Apr-2018,3.2675,3.2675,3.2045,3.2045,0,0
HJ.C,27-Apr-2018,3.12,3.12,3.05,3.05,0,1163
HJF19,27-Apr-2018,3.1927,3.1927,3.1267,3.1267,0,944
HJF20,27-Apr-2018,3.2536,3.2536,3.1911,3.1911,0,311
HJG19,27-Apr-2018,3.2,3.2,3.134,3.134,0,399
HJG20,27-Apr-2018,3.255,3.255,3.1924,3.1924,0,0
HJH19,27-Apr-2018,3.2052,3.2052,3.1393,3.1393,0,399
HJJ18,27-Apr-2018,3.0938,3.0938,3.0873,3.0873,0,1081
HJJ19,27-Apr-2018,3.212,3.212,3.147,3.147,0,399
HJK18,27-Apr-2018,3.1151,3.1151,3.0471,3.0471,0,1163
HJK19,27-Apr-2018,3.217,3.217,3.1526,3.1526,0,399
HJM18,27-Apr-2018,3.1276,3.1276,3.0595,3.0595,0,1031
HJM19,27-Apr-2018,3.223,3.223,3.1591,3.1591,0,399
HJN18,27-Apr-2018,3.1391,3.1391,3.0706,3.0706,0,1068
HJN19,27-Apr-2018,3.2281,3.2281,3.1646,3.1646,0,399
HJQ18,27-Apr-2018,3.1503,3.1503,3.0819,3.0819,0,1059
HJQ19,27-Apr-2018,3.2344,3.2344,3.1715,3.1715,0,399
HJU18,27-Apr-2018,3.16,3.16,3.0921,3.0921,0,1000
HJU19,27-Apr-2018,3.2391,3.2391,3.1766,3.1766,0,399
HJV18,27-Apr-2018,3.1692,3.1692,3.1018,3.1018,0,993
HJV19,27-Apr-2018,3.2443,3.2443,3.182,3.182,0,398
HJX18,27-Apr-2018,3.1776,3.1776,3.1106,3.1106,0,973
HJX19,27-Apr-2018,3.2479,3.2479,3.1872,3.1872,0,398
HJZ18,27-Apr-2018,3.1839,3.1839,3.117,3.117,0,995
HJZ19,27-Apr-2018,3.2512,3.2512,3.1887,3.1887,0,397
LD.C,27-Apr-2018,2565,2565,2565,2565,0,0
LDF19,27-Apr-2018,2348.5,2348.5,2348.5,2348.5,0,0
LDG19,27-Apr-2018,2348.5,2348.5,2348.5,2348.5,0,0
LDH19,27-Apr-2018,2348.5,2348.5,2348.5,2348.5,0,0
LDJ19,27-Apr-2018,2348.5,2348.5,2348.5,2348.5,0,0
LDK18,27-Apr-2018,2565,2565,2565,2565,0,0
LDM18,27-Apr-2018,2347,2347,2347,2347,0,0
LDN18,27-Apr-2018,2348,2348,2348,2348,0,0
LDQ18,27-Apr-2018,2348,2348,2348,2348,0,0
LDU18,27-Apr-2018,2349,2349,2349,2349,0,0
LDV18,27-Apr-2018,2349,2349,2349,2349,0,0
LDX18,27-Apr-2018,2349,2349,2349,2349,0,0
LDZ18,27-Apr-2018,2348.5,2348.5,2348.5,2348.5,0,0
QC.C,27-Apr-2018,3.142,3.142,3.04,3.07,36,54
QCF19,27-Apr-2018,3.192,3.192,3.126,3.126,0,0
QCF20,27-Apr-2018,3.254,3.254,3.192,3.192,0,0
QCG19,27-Apr-2018,3.2,3.2,3.134,3.134,0,0
QCG20,27-Apr-2018,3.254,3.254,3.192,3.192,0,0
QCH19,27-Apr-2018,3.204,3.204,3.138,3.138,0,0
QCH20,27-Apr-2018,3.26,3.26,3.196,3.196,0,0
QCH21,27-Apr-2018,3.264,3.264,3.2,3.2,0,0
QCH22,27-Apr-2018,3.266,3.266,3.202,3.202,0,0
QCH23,27-Apr-2018,3.268,3.268,3.206,3.206,0,0
QCJ19,27-Apr-2018,3.212,3.212,3.146,3.146,0,0
QCJ20,27-Apr-2018,3.197,3.198,3.197,3.198,0,0
QCK19,27-Apr-2018,3.216,3.216,3.152,3.152,0,0
QCK20,27-Apr-2018,3.262,3.262,3.198,3.198,0,0
QCK21,27-Apr-2018,3.264,3.264,3.2,3.2,0,0
QCK22,27-Apr-2018,3.266,3.266,3.204,3.204,0,0
QCM18,27-Apr-2018,3.096,3.096,3.05,3.058,2,4
QCM19,27-Apr-2018,3.222,3.222,3.158,3.158,0,0
QCN18,27-Apr-2018,3.142,3.142,3.04,3.07,36,54
QCN19,27-Apr-2018,3.228,3.228,3.164,3.164,0,0
QCN20,27-Apr-2018,3.262,3.262,3.198,3.198,0,0
QCN21,27-Apr-2018,3.264,3.264,3.202,3.202,0,0
QCN22,27-Apr-2018,3.266,3.266,3.204,3.204,0,0
QCQ18,27-Apr-2018,3.15,3.15,3.082,3.082,0,0
QCQ19,27-Apr-2018,3.234,3.234,3.172,3.172,0,0
QCU18,27-Apr-2018,3.16,3.16,3.092,3.092,0,2
