Symbol,Date,Open,High,Low,Close,Volume
A5,30-Apr-2018,3478.42,3482.17,3457.83,3468.47,30
A5.C,30-Apr-2018,3407,3411.5,3399,3399,30
A5M18,30-Apr-2018,3407,3411.5,3399,3399,30
A5U18,30-Apr-2018,3373,3373,3369.5,3369.5,0
A5Z18,30-Apr-2018,3370.5,3370.5,3366.5,3366.5,0
AC.C,30-Apr-2018,5978,5980,5943,5971,369
ACH19,30-Apr-2018,6031,6040,6031,6040,0
ACH20,30-Apr-2018,6121,6130,6121,6130,0
ACH21,30-Apr-2018,6222,6231,6222,6231,0
ACM18,30-Apr-2018,5978,5980,5943,5971,369
ACM19,30-Apr-2018,6060,6069,6060,6069,0
ACM20,30-Apr-2018,6142,6151,6142,6151,0
ACU18,30-Apr-2018,5981,5990,5981,5990,0
ACU19,30-Apr-2018,6082,6091,6082,6091,0
ACU20,30-Apr-2018,6168,6177,6168,6177,0
ACZ18,30-Apr-2018,6004,6013,6004,6013,0
ACZ19,30-Apr-2018,6100,6109,6100,6109,0
ACZ20,30-Apr-2018,6195,6204,6195,6204,0
AI.C,30-Apr-2018,170.15,170.2,169.85,169.85,140
AIM18,30-Apr-2018,170.15,170.2,169.85,169.85,140
AIU18,30-Apr-2018,174.8,175.15,174.8,175.15,0
AIZ18,30-Apr-2018,169.2,169.55,169.2,169.55,0
AQ.C,30-Apr-2018,2073,2082,2073,2081,1431
AQM18,30-Apr-2018,2073,2082,2073,2081,1431
AQU18,30-Apr-2018,2072,2083.5,2072,2083.5,0
AQZ18,30-Apr-2018,2062,2073.5,2062,2073.5,0
C1.C,30-Apr-2018,1057.1,1057.8,1057.1,1057.8,12
C1M18,30-Apr-2018,1057.1,1057.8,1057.1,1057.8,12
C1U18,30-Apr-2018,1054.9,1056.4,1054.9,1056.4,0
C1Z18,30-Apr-2018,1052.5,1053.6,1052.5,1053.6,0
CF.C,30-Apr-2018,158.89,159.21,158.69,159.14,185
CFM18,30-Apr-2018,158.89,159.21,158.69,159.14,185
CFU18,30-Apr-2018,157.48,157.64,157.48,157.64,0
CFZ18,30-Apr-2018,157.48,157.64,157.48,157.64,0
D0.C,30-Apr-2018,819.3,819.8,818.5,819.8,16
D0M18,30-Apr-2018,819.3,819.8,818.5,819.8,16
D0U18,30-Apr-2018,816.6,818.6,816.6,818.6,0
D0Z18,30-Apr-2018,814.9,815.9,814.9,815.9,0
D9.C,30-Apr-2018,341.5,343.7,340.4,343.7,471
D9M18,30-Apr-2018,341.5,343.7,340.4,343.7,471
D9U18,30-Apr-2018,342.3,343.5,342.3,343.5,0
D9Z18,30-Apr-2018,334.9,335.8,334.9,335.8,0
DM,30-Apr-2018,25889.54,26025.53,25889.54,25967.06,251
DM.C,30-Apr-2018,25927,25985,25850,25949,251
DMM18,30-Apr-2018,25927,25985,25850,25949,251
DMU18,30-Apr-2018,25777,25904,25777,25904,0
DMZ18,30-Apr-2018,25768,25894,25768,25894,0
DO.C,30-Apr-2018,129,129,128.6,128.9,3241
DOZ18,30-Apr-2018,126.1,126.2,126.1,126.2,1307
DOZ19,30-Apr-2018,125.3,125.6,125.3,125.6,1931
DOZ20,30-Apr-2018,129,129,128.6,128.9,3241
DOZ21,30-Apr-2018,125.9,125.9,125.5,125.8,1002
DOZ22,30-Apr-2018,123,123.2,122.5,123.2,877
DOZ23,30-Apr-2018,120.4,120.5,120.2,120.5,560
DOZ24,30-Apr-2018,117.8,118.1,117.8,118.1,110
DOZ25,30-Apr-2018,116,116,115.9,115.9,15
DOZ26,30-Apr-2018,113.3,113.7,113.3,113.7,0
DOZ27,30-Apr-2018,111.2,111.5,111.2,111.5,10
DV,30-Apr-2018,13.53,13.97,13.45,13.72,47716
DV.C,30-Apr-2018,14.55,14.95,14.3,14.6,24797
DVK18,30-Apr-2018,14.55,14.95,14.3,14.6,24797
DVM18,30-Apr-2018,14.95,15.6,14.8,15.25,19063
DVN18,30-Apr-2018,15.55,15.9,15.5,15.75,3023
DVQ18,30-Apr-2018,16,16.25,16,16.15,207
DVU18,30-Apr-2018,16.5,16.7,16.5,16.7,165
DVV18,30-Apr-2018,16.75,16.8,16.7,16.75,131
DVX18,30-Apr-2018,16.75,16.75,16.65,16.7,330
DVZ18,30-Apr-2018,16.5,16.5,16.4,16.4,0
DY,30-Apr-2018,12606.27,12622.93,12563.74,12612.11,70702
DY.C,30-Apr-2018,12620.5,12634,12563.5,12611,70460
DYM18,30-Apr-2018,12620.5,12634,12563.5,12611,70460
DYU18,30-Apr-2018,12597.5,12601.5,12553,12597,67
DYZ18,30-Apr-2018,12555,12582.5,12545,12582.5,175
DZ.C,30-Apr-2018,2635,2635,2610.5,2621,117
DZM18,30-Apr-2018,2635,2635,2610.5,2621,117
DZU18,30-Apr-2018,2621,2621,2620.5,2620.5,0
DZZ18,30-Apr-2018,2617.5,2617.5,2617,2617,0
FA.C,30-Apr-2018,127.6,127.9,126.9,127.5,49970
FAM18,30-Apr-2018,127.6,127.9,126.9,127.5,49970
FAU18,30-Apr-2018,126.8,126.9,126.4,126.9,184
FAZ18,30-Apr-2018,126.1,126.5,126.1,126.5,0
FB.C,30-Apr-2018,175.7,176.2,175.3,175.6,2483
FBM18,30-Apr-2018,175.7,176.2,175.3,175.6,2483
FBU18,30-Apr-2018,174.8,174.9,174.8,174.9,0
FBZ18,30-Apr-2018,173.9,174.1,173.9,174.1,0
FM.C,30-Apr-2018,476.3,476.3,476.1,476.1,64
FMM18,30-Apr-2018,476.3,476.3,476.1,476.1,64
FMU18,30-Apr-2018,473.2,473.6,473.2,473.6,0
FMZ18,30-Apr-2018,471.7,472.1,471.7,472.1,0
FN.C,30-Apr-2018,153.75,153.89,153.44,153.81,86575
FNM18,30-Apr-2018,153.75,153.89,153.44,153.81,86575
FNU18,30-Apr-2018,151.67,151.73,151.67,151.73,0
FNZ18,30-Apr-2018,150.75,150.81,150.75,150.81,0
FO.C,30-Apr-2018,100.18,100.18,100.18,100.18,0
FOK18,30-Apr-2018,100.18,100.18,100.18,100.18,0
FOM18,30-Apr-2018,100.18,100.18,100.175,100.175,0
FON18,30-Apr-2018,100.18,100.19,100.18,100.19,0
FOU18,30-Apr-2018,100.18,100.18,100.175,100.175,0
FOV18,30-Apr-2018,100.18,100.18,100.165,100.165,0
FP.C,30-Apr-2018,4118.7,4148.6,4118.7,4148.6,600
FPM18,30-Apr-2018,4118.7,4148.6,4118.7,4148.6,600
FPU18,30-Apr-2018,4089.9,4119.8,4089.9,4119.8,0
FPZ18,30-Apr-2018,4111.9,4141.6,4111.9,4141.6,0
FS.C,30-Apr-2018,3036,3053,3036,3049,1433
FSM18,30-Apr-2018,3036,3053,3036,3049,1433
FSU18,30-Apr-2018,3018,3028,3018,3028,0
FSZ18,30-Apr-2018,3001,3008,3001,3008,0
FU.C,30-Apr-2018,3698.88,3718.83,3698.88,3718.83,6000
FUH19,30-Apr-2018,3701.91,3721.87,3701.91,3721.87,0
FUH20,30-Apr-2018,3720.41,3740.46,3720.41,3740.46,0
FUH21,30-Apr-2018,3736.72,3756.85,3736.72,3756.85,0
FUH22,30-Apr-2018,3760.35,3780.59,3760.35,3780.59,0
FUH23,30-Apr-2018,3785.63,3805.99,3785.63,3805.99,0
FUM18,30-Apr-2018,3696.42,3716.23,3696.42,3716.23,0
FUM19,30-Apr-2018,3710.77,3730.76,3710.77,3730.76,0
FUM20,30-Apr-2018,3730.61,3750.7,3730.61,3750.7,0
FUM21,30-Apr-2018,3747.84,3768.01,3747.84,3768.01,0
FUM22,30-Apr-2018,3770.62,3790.91,3770.62,3790.91,0
FUM23,30-Apr-2018,3795.89,3816.3,3795.89,3816.3,0
FUU18,30-Apr-2018,3697.05,3716.99,3697.05,3716.99,0
FUU19,30-Apr-2018,3712.53,3732.54,3712.53,3732.54,0
FUU20,30-Apr-2018,3730.78,3750.88,3730.78,3750.88,0
FUU21,30-Apr-2018,3751.03,3771.22,3751.03,3771.22,0
FUU22,30-Apr-2018,3775.33,3795.64,3775.33,3795.64,0
