Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,01-May-2018,0.3594,0.3625,0.3594,0.3625,0
AEDCAD,01-May-2018,0.3495,0.3498,0.3494,0.3497,0
AEDCHF,01-May-2018,0.2689,0.2705,0.2689,0.2705,0
AEDDKK,01-May-2018,1.6447,1.678,1.6447,1.6763,0
AEDEUR,01-May-2018,0.2208,0.2252,0.2208,0.225,0
AEDGBP,01-May-2018,0.1977,0.1991,0.1976,0.1991,0
AEDINR,01-May-2018,18.132,18.148,18.092,18.148,0
AEDJPY,01-May-2018,29.684,29.83,29.684,29.83,0
AEDNOK,01-May-2018,2.1328,2.1802,2.1328,2.1765,0
AEDNZD,01-May-2018,0.3844,0.3879,0.3844,0.3879,0
AEDPKR,01-May-2018,31.43,31.471,31.43,31.466,0
AEDSAR,01-May-2018,1.0043,1.0206,1.0043,1.0193,0
AEDSEK,01-May-2018,2.3208,2.3765,2.3208,2.3434,0
AEDUSD,01-May-2018,0.2722,0.2723,0.2722,0.2722,0
AEDZAR,01-May-2018,3.3577,3.4546,3.3455,3.4447,0
ALLGBP,01-May-2018,0.0067,0.0067,0.0067,0.0067,0
ARSAUD,01-May-2018,0.0643,0.0647,0.0643,0.0643,0
ARSBRL,01-May-2018,0.1684,0.1708,0.1679,0.1679,0
ARSCAD,01-May-2018,0.0625,0.0627,0.0619,0.0619,0
ARSCHF,01-May-2018,0.0481,0.0483,0.0479,0.048,0
ARSEUR,01-May-2018,0.0402,0.0404,0.0401,0.0401,0
ARSGBP,01-May-2018,0.0353,0.0355,0.0352,0.0354,0
ARSHKD,01-May-2018,0.3819,0.3825,0.3777,0.3778,0
ARSHUF,01-May-2018,12.555,12.674,12.555,12.633,0
ARSJPY,01-May-2018,5.308,5.329,5.286,5.289,0
ARSMXN,01-May-2018,0.9074,0.9156,0.905,0.9125,0
ARSSGD,01-May-2018,0.0645,0.0646,0.0642,0.0642,0
ARSUSD,01-May-2018,0.0487,0.0487,0.0481,0.0481,0
ARSZAR,01-May-2018,0.6004,0.6082,0.5998,0.6078,0
AUDAED,01-May-2018,2.72,2.76,2.71,2.71,0
AUDARS,01-May-2018,15.5508,15.5508,15.4384,15.4492,0
AUDBRL,01-May-2018,2.6104,2.6384,2.6056,2.6383,0
AUDCAD,01-May-2018,0.9725,0.9731,0.9607,0.9607,0
AUDCHF,01-May-2018,0.7483,0.7487,0.7445,0.7454,0
AUDCNH,01-May-2018,4.7847,4.7854,4.7373,4.7416,0
AUDCNY,01-May-2018,4.7915,4.7915,4.7455,4.7478,0
AUDCZK,01-May-2018,15.894,16.112,15.848,16.01,0
AUDDKK,01-May-2018,4.6537,4.6557,4.6397,4.6474,0
AUDEUR,01-May-2018,0.6247,0.625,0.6228,0.6238,0
AUDFJD,01-May-2018,1.5484,1.553,1.5393,1.5519,0
AUDGBP,01-May-2018,0.55,0.5504,0.5466,0.5496,0
AUDHKD,01-May-2018,5.9441,5.9498,5.866,5.8701,0
AUDHUF,01-May-2018,195.22,196.83,194.76,195.6,0
AUDIDR,01-May-2018,10492,10500,10318.3,10412.9,0
AUDILS,01-May-2018,2.7194,2.7207,2.6992,2.6998,0
AUDINR,01-May-2018,50.461,50.461,49.947,50.061,0
AUDJPY,01-May-2018,82.605,82.639,82.039,82.183,0
AUDKRW,01-May-2018,808.43,808.47,805.02,806.13,0
AUDMXN,01-May-2018,14.1213,14.2133,14.0537,14.1753,0
AUDMYR,01-May-2018,2.9661,2.9709,2.9325,2.9325,0
AUDNOK,01-May-2018,6.0341,6.0692,6.0138,6.0508,0
AUDNZD,01-May-2018,1.0693,1.0721,1.0666,1.0694,0
AUDPHP,01-May-2018,39.036,39.064,38.796,38.811,0
AUDPKR,01-May-2018,87.03,87.034,86.875,86.875,0
AUDPLN,01-May-2018,2.628,2.6776,2.622,2.6667,0
AUDSEK,01-May-2018,6.5627,6.6538,6.5383,6.6144,0
AUDSGD,01-May-2018,1.0024,1.0028,0.997,0.9977,0
AUDTHB,01-May-2018,23.861,23.863,23.724,23.734,0
AUDTRY,01-May-2018,3.0702,3.0853,3.0441,3.0719,0
AUDTWD,01-May-2018,21.725,21.725,21.7,21.7,0
AUDUSD,01-May-2018,0.7575,0.7582,0.7473,0.7479,0
AUDZAR,01-May-2018,9.3446,9.4954,9.2994,9.481,0
AWGUSD,01-May-2018,0.5556,0.5556,0.554,0.554,0
BDTGBP,01-May-2018,0.0085,0.0085,0.0084,0.0084,0
BDTJPY,01-May-2018,1.2707,1.2707,1.2685,1.2685,0
BGNCNY,01-May-2018,3.9203,3.9209,3.8802,3.8802,0
BGNDKK,01-May-2018,3.79,3.808,3.79,3.7994,0
BGNPLN,01-May-2018,2.151,2.1899,2.1503,2.1803,0
BGNUSD,01-May-2018,0.6167,0.6179,0.6115,0.6128,0
BHDEUR,01-May-2018,2.1336,2.181,2.1336,2.1787,0
BHDPKR,01-May-2018,306.23,306.24,305.95,306.02,0
BHDUSD,01-May-2018,2.5864,2.6349,2.5864,2.6319,0
BNDGBP,01-May-2018,0.5407,0.5489,0.4782,0.4782,0
BRLARS,01-May-2018,5.9361,5.9375,5.8445,5.9188,0
BRLAUD,01-May-2018,0.3786,0.3834,0.3781,0.3805,0
BRLCAD,01-May-2018,0.3684,0.3717,0.3654,0.3654,0
BRLCHF,01-May-2018,0.2834,0.2866,0.2822,0.2839,0
BRLEUR,01-May-2018,0.2366,0.2394,0.2359,0.2376,0
BRLHKD,01-May-2018,2.2521,2.2682,2.2359,2.2359,0
BRLJPY,01-May-2018,31.522,31.629,31.141,31.299,0
BRLKRW,01-May-2018,308.615,309.495,304.717,307.082,0
BRLMXN,01-May-2018,5.3501,5.4182,5.3301,5.4029,0
BRLRUB,01-May-2018,17.84,18.148,17.84,17.938,0
BRLSEK,01-May-2018,2.4862,2.5115,2.4862,2.4936,0
BRLSGD,01-May-2018,0.3797,0.3829,0.3778,0.3778,0
BRLUSD,01-May-2018,0.2889,0.2891,0.2849,0.285,0
BRLZAR,01-May-2018,3.5382,3.5904,3.5382,3.5552,0
BWPCHF,01-May-2018,0.0995,0.0995,0.0994,0.0994,0
BWPEUR,01-May-2018,0.0831,0.0831,0.083,0.083,0
BWPGBP,01-May-2018,0.0731,0.0731,0.0729,0.0729,0
BWPUSD,01-May-2018,0.1007,0.1008,0.1002,0.1003,0
