Symbol,Date,Open,High,Low,Close,Volume
ADDA.IDX,30-Apr-2018,-7,2,-43,-43,0
ADDD.IDX,30-Apr-2018,-1,5,-2,-2,0
ADDE.IDX,30-Apr-2018,373,579,-765,-757,0
ADDN.IDX,30-Apr-2018,851,851,-820,-815,0
ADDQ.IDX,30-Apr-2018,460,690,-821,-814,0
ADDS.IDX,30-Apr-2018,94,113,-131,-122,0
ADDT.IDX,30-Apr-2018,1304,1481,-1678,-1672,0
ADDV.IDX,30-Apr-2018,27,27,-162,-127,0
ADDX.IDX,30-Apr-2018,121,132,-293,-249,0
ADRA.IDX,30-Apr-2018,0.9,1.02,0.65,0.65,0
ADRD.IDX,30-Apr-2018,4,5,0.66,0.66,0
ADRE.IDX,30-Apr-2018,1.9,2.41,0.39,0.4,0
ADRN.IDX,30-Apr-2018,2.63,2.63,0.41,0.41,0
ADRQ.IDX,30-Apr-2018,1.59,1.96,0.48,0.49,0
ADRS.IDX,30-Apr-2018,1.23,1.25,0.84,0.86,0
ADRT.IDX,30-Apr-2018,1.95,2.09,0.46,0.46,0
ADRV.IDX,30-Apr-2018,1.13,1.13,0.67,0.74,0
ADRX.IDX,30-Apr-2018,1.19,1.19,0.78,0.81,0
ADVA.IDX,30-Apr-2018,68,97,68,82,33420400
ADVD.IDX,30-Apr-2018,3,6,3,4,2300700
ADVE.IDX,30-Apr-2018,787,994,503,510,309128400
ADVN.IDX,30-Apr-2018,1370,1370,585,586,1094110000
ADVQ.IDX,30-Apr-2018,1229,1404,786,790,577975500
ADVS.IDX,30-Apr-2018,501,765,501,764,134682500
ADVT.IDX,30-Apr-2018,2667,2836,1453,1458,1705506000
ADVV.IDX,30-Apr-2018,232,374,232,370,68973600
ADVX.IDX,30-Apr-2018,733,1139,733,1134,203656100
ASHD.IDX,30-Apr-2018,142,1228,142,1227,0
ASHF.IDX,30-Apr-2018,110,516,-659,-659,0
ASHR.IDX,30-Apr-2018,1.77,2.11,0.46,0.46,0
ASHU.IDX,30-Apr-2018,252,979,252,568,0
AVDA.IDX,30-Apr-2018,2.97,595.27,-656.87,273.86,0
AVDD.IDX,30-Apr-2018,-5.46,214.91,-5.46,214.91,0
AVDS.IDX,30-Apr-2018,9.86,1387.9,-5094.47,-5092.71,0
AVDV.IDX,30-Apr-2018,-150.38,485.85,-1669.05,-1669.05,0
AVDX.IDX,30-Apr-2018,-140.52,1809.98,-6761.76,-6761.76,0
AVLD.IDX,30-Apr-2018,2.63,705.83,2.63,691.73,0
AVLF.IDX,30-Apr-2018,0.65,69.28,-471.69,-419.76,0
AVLR.IDX,30-Apr-2018,1.24,1.87,0.32,0.39,0
AVLU.IDX,30-Apr-2018,3.28,310.65,3.28,271.97,0
AVRA.IDX,30-Apr-2018,1.02,1.36,0.65,1.08,0
AVRD.IDX,30-Apr-2018,1835.66,5721,15.17,15.17,0
AVRE.IDX,30-Apr-2018,1.05,1.54,0.35,0.35,0
AVRN.IDX,30-Apr-2018,1.18,1.44,0.43,0.43,0
AVRQ.IDX,30-Apr-2018,1.34,1.94,0.43,0.47,0
AVRS.IDX,30-Apr-2018,1.01,1.45,0.72,0.72,0
AVRT.IDX,30-Apr-2018,1.24,1.55,0.44,0.45,0
AVRV.IDX,30-Apr-2018,0.83,1.35,0.8,0.8,0
AVRX.IDX,30-Apr-2018,0.9,1.31,0.75,0.75,0
AVVA.IDX,30-Apr-2018,1.41,33.42,1.41,33.42,0
AVVD.IDX,30-Apr-2018,0.17,2.3,0.17,2.3,0
AVVE.IDX,30-Apr-2018,18.63,309.12,18.63,309.12,0
