Symbol,Date,Open,High,Low,Close,Volume,OpenInt
KEH19,02-Apr-2018 09:25,549.75,549.75,549.75,549.75,10,0
KEH19,02-Apr-2018 10:05,548.25,548.25,548,548,3,0
KEH19,02-Apr-2018 10:10,547.75,547.75,547.75,547.75,1,0
KEH19,02-Apr-2018 10:15,547.5,547.5,546,546,12,0
KEH19,02-Apr-2018 10:40,545.5,545.5,545.5,545.5,4,0
KEH19,02-Apr-2018 10:45,548.25,548.25,548.25,548.25,2,0
KEH19,02-Apr-2018 11:40,546,546,546,546,10,0
KEH19,02-Apr-2018 12:25,547.25,547.25,547.25,547.25,1,0
KEH19,02-Apr-2018 12:45,547,547,547,547,1,0
KEK18,02-Apr-2018 09:00,471.5,472.75,471.5,472,121,0
KEK18,02-Apr-2018 09:05,472.25,472.25,471,471.5,188,0
KEK18,02-Apr-2018 09:10,471.5,472.25,471.25,472.25,257,0
KEK18,02-Apr-2018 09:15,472,472,471,471,197,0
KEK18,02-Apr-2018 09:20,471,471.25,470.5,471,129,0
KEK18,02-Apr-2018 09:25,471.25,472,471,471.25,62,0
KEK18,02-Apr-2018 09:30,471.25,471.25,470.5,470.75,72,0
KEK18,02-Apr-2018 09:35,470.5,471.5,470.25,471,213,0
KEK18,02-Apr-2018 09:40,471,471.25,470.5,470.75,130,0
KEK18,02-Apr-2018 09:45,470.75,471,470.5,470.75,176,0
KEK18,02-Apr-2018 09:50,470.75,471.25,470.5,470.5,165,0
KEK18,02-Apr-2018 09:55,470.5,471,470.5,470.75,238,0
KEK18,02-Apr-2018 10:00,470.75,470.75,470,470,494,0
KEK18,02-Apr-2018 10:05,470.25,470.75,469.75,470.25,694,0
KEK18,02-Apr-2018 10:10,470,470.5,468.75,468.75,672,0
KEK18,02-Apr-2018 10:15,469,469.25,467.75,468,636,0
KEK18,02-Apr-2018 10:20,468,468.5,467.5,468,449,0
KEK18,02-Apr-2018 10:25,468,468.75,467.75,468.75,350,0
KEK18,02-Apr-2018 10:30,468.75,468.75,467.75,468,605,0
KEK18,02-Apr-2018 10:35,467.75,468.25,467.25,467.25,167,0
KEK18,02-Apr-2018 10:40,467.5,470,467.5,470,408,0
KEK18,02-Apr-2018 10:45,470,471,469.25,470.75,372,0
KEK18,02-Apr-2018 10:50,470.75,471.25,470.5,471.25,185,0
KEK18,02-Apr-2018 10:55,471.5,471.5,469.75,470.25,508,0
KEK18,02-Apr-2018 11:00,470,470,468.5,468.5,277,0
KEK18,02-Apr-2018 11:05,468.75,469.75,468.75,469.5,216,0
KEK18,02-Apr-2018 11:10,469.5,469.5,468.5,468.75,279,0
KEK18,02-Apr-2018 11:15,469,469.75,468.75,469,102,0
KEK18,02-Apr-2018 11:20,469.25,469.5,468.5,468.5,188,0
KEK18,02-Apr-2018 11:25,468.75,469,468.5,469,57,0
KEK18,02-Apr-2018 11:30,468.75,469.25,468.5,468.75,69,0
KEK18,02-Apr-2018 11:35,468.75,468.75,468.5,468.75,70,0
KEK18,02-Apr-2018 11:40,468.5,468.75,467.75,468.5,163,0
KEK18,02-Apr-2018 11:45,468.75,469,468.5,469,117,0
KEK18,02-Apr-2018 11:50,469,469.25,468.75,468.75,90,0
KEK18,02-Apr-2018 11:55,468.75,468.75,468.25,468.25,72,0
KEK18,02-Apr-2018 12:00,468.25,468.75,468.25,468.75,35,0
KEK18,02-Apr-2018 12:05,468.5,468.75,468.5,468.75,40,0
KEK18,02-Apr-2018 12:10,468.75,468.75,468.75,468.75,30,0
KEK18,02-Apr-2018 12:15,468.5,469,468.5,468.5,137,0
KEK18,02-Apr-2018 12:20,468.75,469.5,468.75,469.25,106,0
KEK18,02-Apr-2018 12:25,469.25,469.5,469.25,469.25,42,0
KEK18,02-Apr-2018 12:30,469.5,470.25,469.5,470.25,92,0
KEK18,02-Apr-2018 12:35,470,470,469.75,469.75,73,0
KEK18,02-Apr-2018 12:40,469.5,469.75,469.25,469.25,44,0
KEK18,02-Apr-2018 12:45,469,469,468,468,274,0
KEK18,02-Apr-2018 12:50,467.75,468.25,467.75,468.25,39,0
KEK18,02-Apr-2018 12:55,468.25,468.5,468,468,226,0
KEK18,02-Apr-2018 13:00,468,468,467.5,467.5,155,0
KEK18,02-Apr-2018 13:05,467.75,468.5,467.75,467.75,338,0
KEK18,02-Apr-2018 13:10,467.75,470,466.75,466.75,1089,0
KEK18,02-Apr-2018 13:15,466.75,469.25,466.75,469,225,0
KEK19,02-Apr-2018 10:40,552.5,552.75,552.5,552.75,3,0
KEK19,02-Apr-2018 12:25,554.25,554.25,554.25,554.25,1,0
KEK19,02-Apr-2018 13:10,553,553,553,553,1,0
KEN18,02-Apr-2018 09:00,490.75,491.75,490.75,491.25,172,0
KEN18,02-Apr-2018 09:05,491.5,491.75,490.5,490.75,91,0
KEN18,02-Apr-2018 09:10,490.75,491.5,490.5,491.25,181,0
KEN18,02-Apr-2018 09:15,491,491.25,490.25,490.25,66,0
KEN18,02-Apr-2018 09:20,490.25,490.5,489.75,490.25,151,0
KEN18,02-Apr-2018 09:25,490.5,491,490.25,490.25,294,0
KEN18,02-Apr-2018 09:30,490.5,490.5,489.5,490,176,0
KEN18,02-Apr-2018 09:35,490,490.25,489.5,490.25,98,0
KEN18,02-Apr-2018 09:40,490.25,490.25,489.5,490,36,0
KEN18,02-Apr-2018 09:45,489.75,489.75,489.5,489.75,23,0
KEN18,02-Apr-2018 09:50,489.5,490.25,489.5,489.75,104,0
KEN18,02-Apr-2018 09:55,489.75,490,489.5,489.75,36,0
KEN18,02-Apr-2018 10:00,489.5,490,489.25,489.25,122,0
KEN18,02-Apr-2018 10:05,489.5,489.75,489,489.5,275,0
KEN18,02-Apr-2018 10:10,489.25,489.75,488,488,209,0
KEN18,02-Apr-2018 10:15,488.25,488.5,487.25,487.25,282,0
KEN18,02-Apr-2018 10:20,486.75,487.75,486.75,487.5,78,0
KEN18,02-Apr-2018 10:25,487.25,487.75,487.25,487.75,73,0
KEN18,02-Apr-2018 10:30,487.75,488,487,487,88,0
