Symbol,Date,Open,High,Low,Close,Volume,OpenInt
KE,30-Apr-2018,513.75,518.5,513.75,518.5,63844,250871
KE.C,30-Apr-2018,532.75,543.25,530.75,537.5,37456,133762
KEH19,30-Apr-2018,590,599.5,587.25,593.25,1156,16990
KEH20,30-Apr-2018,624.25,628.75,624.25,628.75,0,2
KEK18,30-Apr-2018,513.75,523.5,512,518.5,11749,2733
KEK19,30-Apr-2018,595.5,605.25,593.5,599.5,143,1258
KEK20,30-Apr-2018,624.25,628.75,624.25,628.75,0,0
KEN18,30-Apr-2018,532.75,543.25,530.75,537.5,37456,133762
KEN19,30-Apr-2018,593.75,605.5,593.75,600.5,186,3532
KEN20,30-Apr-2018,617.5,622,617.5,622,0,9
KEU18,30-Apr-2018,550.25,561,548.5,555.25,8121,50418
KEU19,30-Apr-2018,610,613,603.5,608.5,3,120
KEZ18,30-Apr-2018,575,584.75,572.25,578.75,5030,41661
KEZ19,30-Apr-2018,620,625,615.75,622.25,0,386
KW,30-Apr-2018,512.25,518.5,512.25,518.5,63844,250871
KW.C,30-Apr-2018,530.5,537.5,530.5,537.5,37456,133762
KWH19,30-Apr-2018,587.25,593.25,587.25,593.25,1156,16990
KWH20,30-Apr-2018,624.25,628.75,624.25,628.75,0,2
KWK18,30-Apr-2018,512.25,518.5,512.25,518.5,11749,2733
KWK19,30-Apr-2018,594.25,599.5,594.25,599.5,143,1258
KWK20,30-Apr-2018,624.25,628.75,624.25,628.75,0,0
KWN18,30-Apr-2018,530.5,537.5,530.5,537.5,37456,133762
KWN19,30-Apr-2018,596.5,600.5,596.5,600.5,186,3532
KWN20,30-Apr-2018,617.5,622,617.5,622,0,9
KWU18,30-Apr-2018,548.5,555.25,548.5,555.25,8121,50418
KWU19,30-Apr-2018,605,608.5,605,608.5,3,120
KWZ18,30-Apr-2018,572,578.75,572,578.75,5030,41661
KWZ19,30-Apr-2018,618.75,622.25,618.75,622.25,0,386
