Symbol,Date,Open,High,Low,Close,Volume
0AH7.L,27-Apr-2018,28.05,28.2,28.025,28.05,439
0B67.L,27-Apr-2018,15.949,15.995,15.9047,15.98,97026
0BJP.L,27-Apr-2018,2.222,2.242,2.222,2.232,48510
0BNT.L,27-Apr-2018,47.53,48.255,47.4062,48.255,103999
0BQE.L,27-Apr-2018,441.3995,441.3995,431.5,431.5,15
0CHZ.L,27-Apr-2018,1.639,1.6577,1.636,1.636,2958
0CIJ.L,27-Apr-2018,3.6,3.6318,3.5475,3.5475,11609
0CX9.L,27-Apr-2018,16.55,16.85,16.55,16.6,329
0CXC.L,27-Apr-2018,16.4597,16.5014,16.384,16.4675,285274
0D53.L,27-Apr-2018,60.61,60.7762,60.6,60.6,2
0DHC.L,27-Apr-2018,56.25,56.4953,55.9694,56.2,21351
0DHJ.L,27-Apr-2018,10.38,10.44,10.31,10.42,8880
0DJV.L,27-Apr-2018,6.01,6.01,5.985,5.985,431
0DK9.L,27-Apr-2018,89.9,91.16,89.57,89.9,2700
0DKX.L,27-Apr-2018,75.7,75.7,75.5,75.5,269
0DLI.L,27-Apr-2018,22.65,22.65,22.65,22.65,12
0DM6.L,27-Apr-2018,16.705,16.705,16.7,16.7,100
0DNH.L,27-Apr-2018,110.525,113.35,110.5,113.075,223143
0DNW.L,27-Apr-2018,99,99.1,98.2,98.2,23392
0DOL.L,27-Apr-2018,5.65,5.7509,5.515,5.515,200
0DP0.L,27-Apr-2018,117.2561,130,117.2561,130,24
0DP4.L,27-Apr-2018,38.15,40.5,38.15,40.5,181
0DP9.L,27-Apr-2018,2.6132,2.6132,2.125,2.125,350000
0DPM.L,27-Apr-2018,71.1114,71.1683,70.75,70.75,2540
0DPU.L,27-Apr-2018,25.203,25.61,25.2005,25.31,37357
0DQ7.L,27-Apr-2018,93.52,94.41,93.4208,94.06,29561
0DQH.L,27-Apr-2018,63.189,64.3525,61.55,61.925,66407
0DQK.L,27-Apr-2018,8.4905,8.4905,8.41,8.41,939
0DQZ.L,27-Apr-2018,26.82,26.94,26.82,26.94,95
0DTF.L,27-Apr-2018,73.1268,73.1268,72.7,72.7,51
0DUI.L,27-Apr-2018,168.7178,169.7155,166.5,166.5,445
0DVE.L,27-Apr-2018,5.4675,5.485,5.428,5.445,6696
0DVR.L,27-Apr-2018,367.5681,395.55,367.5681,395.55,170
0DW4.L,27-Apr-2018,283.35,283.35,281.85,281.85,18
0DX8.L,27-Apr-2018,31.56,31.56,31.56,31.56,46
0DXU.L,27-Apr-2018,24.65,24.65,24.65,24.65,168
0DYD.L,27-Apr-2018,13.35,13.37,13.278,13.37,78
0DYQ.L,27-Apr-2018,35.1,35.1,34.8,34.8,5803
0DZC.L,27-Apr-2018,31.07,31.07,30.8462,30.93,8825
0DZU.L,27-Apr-2018,14.692,14.692,14.56,14.56,41
0E1L.L,27-Apr-2018,1.577,1.5909,1.577,1.583,9390
0E1S.L,27-Apr-2018,19.31,19.31,18.88,18.89,10105
0E1Y.L,27-Apr-2018,25.11,25.27,25.0642,25.14,307
0E2N.L,27-Apr-2018,1.864,1.89,1.8585,1.8715,2306522
0E4K.L,27-Apr-2018,8.355,8.405,8.2093,8.265,58132
0E4Q.L,27-Apr-2018,2.6909,2.7507,2.6909,2.74,80962
0E4X.L,27-Apr-2018,27.8161,27.8161,27.68,27.68,200000
0E5A.L,27-Apr-2018,112.5576,113.28,112.5576,113.28,16000
0E5M.L,27-Apr-2018,24.69,24.92,24.69,24.92,4648
0E6M.L,27-Apr-2018,48.493,48.493,48.493,48.493,18200
0E6Y.L,27-Apr-2018,59.9,60.1737,59.9,60.025,12310
0E7S.L,27-Apr-2018,88.1297,88.1297,84.5,84.5,1128
0EA2.L,27-Apr-2018,2.24,2.24,2.24,2.24,1275
0EBQ.L,27-Apr-2018,23.969,24.0151,23.835,23.835,214563
0EDE.L,27-Apr-2018,103.7369,103.7369,102.49,102.49,459
0EEE.L,27-Apr-2018,38.32,38.337,38.0734,38.23,12741
0EG8.L,27-Apr-2018,11.313,11.435,11.2252,11.435,24235
0EIE.L,27-Apr-2018,3.655,3.7175,3.6425,3.7175,185
0EKE.L,27-Apr-2018,29.775,30.5985,29.775,30.45,5645
0EKI.L,27-Apr-2018,8.8,8.8,8.76,8.76,134
0EKR.L,27-Apr-2018,49.6,49.6,49.175,49.175,620
0ELV.L,27-Apr-2018,52.7,52.8,52.5312,52.7,663
0EPW.L,27-Apr-2018,150.4,151.79,150.4,151.3,3789
0EUH.L,27-Apr-2018,59.75,60.15,59.55,59.55,5076
0EVB.L,27-Apr-2018,0.1842,0.1881,0.183,0.183,52
0EVI.L,27-Apr-2018,6.3025,6.3625,6.25,6.3625,3712
0EW1.L,27-Apr-2018,187.3,188.6188,184.2,184.2,46
0EWD.L,27-Apr-2018,26.24,26.32,26.22,26.27,3810
0EX7.L,27-Apr-2018,30.416,30.716,30.416,30.5,7541
0EXG.L,27-Apr-2018,14.7675,14.795,14.49,14.7825,1043429
0EXP.L,27-Apr-2018,35.754,35.754,34.86,35.17,21979
0EYG.L,27-Apr-2018,72.941,73.05,72.281,72.69,14363
0F07.L,27-Apr-2018,43.96,44.34,43.91,44.34,421
0F1N.L,27-Apr-2018,296.25,297.5,294.5,296.25,448
0F29.L,27-Apr-2018,16.77,16.77,16.4784,16.71,539
0F2Q.L,27-Apr-2018,12.2092,12.3,12.2092,12.3,1777
0F2Z.L,27-Apr-2018,24.15,24.2,23.908,24.2,3768
0F4I.L,27-Apr-2018,33.326,33.42,33.14,33.375,107357
0F6L.L,27-Apr-2018,4.6,4.605,4.565,4.565,6132
0F89.L,27-Apr-2018,29.15,29.28,29.0305,29.1,110808
0F8V.L,27-Apr-2018,28.4,28.4,28.4,28.4,11
0FA0.L,27-Apr-2018,79.175,79.95,79.175,79.675,382
0FBM.L,27-Apr-2018,70.3142,71,70.3142,71,8047
0FBS.L,27-Apr-2018,16.96,17,16.82,16.94,1422
0FC9.L,27-Apr-2018,140.6,141.595,139.9,140.4,8584
0FDN.L,27-Apr-2018,3.9495,3.9495,3.88,3.88,1102
0FDT.L,27-Apr-2018,99.5,101.1,98.2106,100.3,7268
0FF9.L,27-Apr-2018,50.375,50.95,49.5227,50.95,20386
0FFY.L,27-Apr-2018,33.69,33.79,33.39,33.39,38973
0FGH.L,27-Apr-2018,300.3159,304.803,294.8571,300.55,4119
0FH7.L,27-Apr-2018,35.475,36.45,35.4,36.45,45
0FI5.L,27-Apr-2018,19.36,19.76,19.09,19.09,1415
0FIN.L,27-Apr-2018,74.7,75.04,73.63,73.63,608892
0FJ8.L,27-Apr-2018,5.137,5.204,5.1034,5.171,622967
0FJC.L,27-Apr-2018,17.57,17.59,17.3,17.405,40411
0FMO.L,27-Apr-2018,41.4554,44.73,41.4554,44.73,4421
0FNZ.L,27-Apr-2018,30.6,31.025,30.6,31.025,85
0FQI.L,27-Apr-2018,59.5,60.9126,59.2495,60.61,369055
0FQR.L,27-Apr-2018,123.5,124.35,123.45,123.45,810
0FR0.L,27-Apr-2018,15.52,15.532,15.438,15.52,13027
0FRJ.L,27-Apr-2018,522.5,523,519.5517,522.5,46
0FS8.L,27-Apr-2018,1.39,1.3915,1.369,1.3865,1337944
0FUZ.L,27-Apr-2018,17.04,17.6639,17.04,17.1,18199
0FWY.L,27-Apr-2018,401.8,403.1767,396.7036,399.7,3758
0G0X.L,27-Apr-2018,24,24,23.85,23.85,14555
0G15.L,27-Apr-2018,68.395,69.425,68.1559,68.95,1699
0G1T.L,27-Apr-2018,138.1827,138.2,137.6068,138.2,673
0G2X.L,27-Apr-2018,144.6,144.8,143.7,143.7,328
0G2Z.L,27-Apr-2018,6.4642,6.4642,6.3364,6.44,21401
0G3T.L,27-Apr-2018,61.82,61.82,59.9,59.9,8195
0G67.L,27-Apr-2018,48.7,48.7,48.696,48.7,93
0G68.L,27-Apr-2018,33.2296,33.2296,33.05,33.05,835
0G6T.L,27-Apr-2018,67.05,67.72,67.04,67.23,6921
0G77.L,27-Apr-2018,46.8065,46.8065,46.0673,46.3,8646
0G79.L,27-Apr-2018,334,360,334,360,38
0G7B.L,27-Apr-2018,13.8013,14.0435,13.8013,13.95,2355
0G8C.L,27-Apr-2018,178.57,179.5475,177.75,178.35,3788462
0G9W.L,27-Apr-2018,8.4335,8.437,8.3466,8.437,12610
0GA3.L,27-Apr-2018,0.7138,0.7138,0.7134,0.7134,82593
0GAF.L,27-Apr-2018,50.2625,50.2625,47.64,47.86,9645
0GB6.L,27-Apr-2018,3.9275,3.9275,3.835,3.885,9421
0GB7.L,27-Apr-2018,5.2242,5.75,5.2242,5.75,6874
0GC8.L,27-Apr-2018,17.56,18.24,17.4761,17.98,1539
0GDH.L,27-Apr-2018,84.3638,84.4469,83.8796,84.25,6696
0GDR.L,27-Apr-2018,9.875,9.875,9.7799,9.875,4861
0GDU.L,27-Apr-2018,128.8558,129.8286,128.594,129,761
0GE4.L,27-Apr-2018,53.8606,54.118,53.7012,53.84,8414
0GED.L,27-Apr-2018,23.35,23.35,22.9034,23.25,68
0GEG.L,27-Apr-2018,20.675,20.675,20.5,20.525,609
