Symbol,Date,Open,High,Low,Close,Volume,OpenInt
MWH19,03-Apr-2018 10:30,622,622,622,622,4,0
MWH19,03-Apr-2018 11:10,623,623,623,623,1,0
MWH19,03-Apr-2018 11:45,623,623,623,623,1,0
MWH19,03-Apr-2018 12:15,621,621,621,621,1,0
MWH19,03-Apr-2018 13:10,623.25,623.5,623.25,623.25,23,0
MWH19,03-Apr-2018 13:15,623.25,623.25,623.25,623.25,17,0
MWK18,03-Apr-2018 09:00,583,583.75,583,583.5,42,0
MWK18,03-Apr-2018 09:05,583.25,583.25,582.5,582.5,19,0
MWK18,03-Apr-2018 09:10,582.75,583,582.75,582.75,7,0
MWK18,03-Apr-2018 09:15,582.75,582.75,582.25,582.75,20,0
MWK18,03-Apr-2018 09:20,582.75,582.75,582.25,582.25,9,0
MWK18,03-Apr-2018 09:25,582.75,582.75,582.5,582.5,9,0
MWK18,03-Apr-2018 09:30,582.5,582.75,582.25,582.75,15,0
MWK18,03-Apr-2018 09:35,582.75,582.75,582.5,582.75,12,0
MWK18,03-Apr-2018 09:40,582.5,583.25,582.5,582.5,31,0
MWK18,03-Apr-2018 09:45,582.75,582.75,582.5,582.5,15,0
MWK18,03-Apr-2018 09:50,582.75,583.25,582.75,582.75,12,0
MWK18,03-Apr-2018 09:55,583,583.25,583,583.25,7,0
MWK18,03-Apr-2018 10:00,583,584,583,583.75,52,0
MWK18,03-Apr-2018 10:05,583.75,583.75,583.5,583.75,12,0
MWK18,03-Apr-2018 10:10,583.75,584,583.5,583.5,12,0
MWK18,03-Apr-2018 10:15,583.5,584,583.25,583.25,23,0
MWK18,03-Apr-2018 10:20,583,583,583,583,13,0
MWK18,03-Apr-2018 10:25,583,583.5,583,583.5,18,0
MWK18,03-Apr-2018 10:30,583.5,583.5,582.5,583.25,39,0
MWK18,03-Apr-2018 10:35,583.25,583.5,582.75,582.75,12,0
MWK18,03-Apr-2018 10:40,583,583,581.5,581.75,115,0
MWK18,03-Apr-2018 10:45,582,582.5,582,582.25,52,0
MWK18,03-Apr-2018 10:50,582.5,583.25,582.5,583,20,0
MWK18,03-Apr-2018 10:55,582.75,583.25,581.75,582.75,29,0
MWK18,03-Apr-2018 11:00,582.5,583,582.25,583,24,0
MWK18,03-Apr-2018 11:05,582.75,582.75,582.25,582.25,5,0
MWK18,03-Apr-2018 11:10,582.75,583,582.25,582.25,27,0
MWK18,03-Apr-2018 11:15,582.25,582.75,581.75,582.75,56,0
MWK18,03-Apr-2018 11:20,582.75,582.75,581.5,581.5,12,0
MWK18,03-Apr-2018 11:25,581.5,581.5,581,581.5,24,0
MWK18,03-Apr-2018 11:30,581.5,582.25,581.5,582,45,0
MWK18,03-Apr-2018 11:35,581.75,581.75,581,581.5,36,0
MWK18,03-Apr-2018 11:40,581.5,582.5,581.5,582.5,38,0
MWK18,03-Apr-2018 11:45,582.75,583,582.5,582.5,38,0
MWK18,03-Apr-2018 11:50,582.5,582.75,582.25,582.25,16,0
MWK18,03-Apr-2018 11:55,582,582.5,582,582,8,0
MWK18,03-Apr-2018 12:00,581.75,581.75,581.5,581.75,7,0
MWK18,03-Apr-2018 12:05,581.5,581.5,581.5,581.5,4,0
MWK18,03-Apr-2018 12:10,581,581,579.75,580,47,0
MWK18,03-Apr-2018 12:15,580.25,580.5,579.75,580.25,24,0
MWK18,03-Apr-2018 12:20,580.75,581.5,580.75,581,33,0
MWK18,03-Apr-2018 12:25,581.25,581.25,581,581,21,0
MWK18,03-Apr-2018 12:30,581,581.5,581,581.5,38,0
MWK18,03-Apr-2018 12:35,581.5,582.25,581.25,581.75,20,0
MWK18,03-Apr-2018 12:40,582,582.25,581,581.5,54,0
MWK18,03-Apr-2018 12:45,581.25,582,581,582,31,0
MWK18,03-Apr-2018 12:50,581.75,582.5,581.75,581.75,27,0
MWK18,03-Apr-2018 12:55,581.75,581.75,581.25,581.5,11,0
MWK18,03-Apr-2018 13:00,581.5,583,581,583,57,0
MWK18,03-Apr-2018 13:05,582.75,582.75,582.25,582.5,30,0
MWK18,03-Apr-2018 13:10,582.5,583.25,582.25,582.75,139,0
MWK18,03-Apr-2018 13:15,583,583,582,583,77,0
MWK18,03-Apr-2018 13:20,583,583.25,583,583.25,11,0
MWK18,03-Apr-2018 13:25,583.25,583.25,583,583.25,7,0
MWK19,03-Apr-2018 12:20,629,629,629,629,1,0
MWN18,03-Apr-2018 09:00,591.75,592,591.5,592,50,0
MWN18,03-Apr-2018 09:05,592,592,591.25,591.5,6,0
MWN18,03-Apr-2018 09:10,591.25,591.25,591.25,591.25,3,0
MWN18,03-Apr-2018 09:15,591,591.25,591,591.25,6,0
MWN18,03-Apr-2018 09:25,591.5,591.5,591.25,591.5,7,0
MWN18,03-Apr-2018 09:30,590.75,591.25,590.75,591.25,3,0
MWN18,03-Apr-2018 09:35,591.25,591.25,591.25,591.25,7,0
MWN18,03-Apr-2018 09:40,591.5,591.75,591.5,591.5,31,0
MWN18,03-Apr-2018 09:45,591.5,591.5,591,591,10,0
MWN18,03-Apr-2018 09:50,591.5,591.5,591.25,591.25,11,0
MWN18,03-Apr-2018 09:55,591.25,591.5,591.25,591.25,35,0
MWN18,03-Apr-2018 10:00,591.5,592.25,591.5,592.25,62,0
MWN18,03-Apr-2018 10:05,592.25,592.25,591.75,591.75,7,0
