Symbol,Date,Open,High,Low,Close,Volume,OpenInt
DW,27-Apr-2018,573.89,573.89,573.89,573.89,0,0
IC,27-Apr-2018,365,365,359.59,359.59,0,0
IC.C,27-Apr-2018,365,371,365,371,0,0
ICJ18,27-Apr-2018,360,366,360,366,0,0
ICK18,27-Apr-2018,365,371,365,371,0,0
IH,27-Apr-2018,469,476,469,476,0,0
IH.C,27-Apr-2018,469,479,469,479,0,0
IHJ18,27-Apr-2018,464,474,464,474,0,0
IHK18,27-Apr-2018,469,479,469,479,0,0
IP,27-Apr-2018,604,604,596.03,596.03,0,0
IP.C,27-Apr-2018,604,605,604,605,0,0
IPJ18,27-Apr-2018,599,600,599,600,0,0
IPK18,27-Apr-2018,604,605,604,605,0,0
IS,27-Apr-2018,973,977.75,973,977.75,0,0
IS.C,27-Apr-2018,973,976,973,976,0,0
ISJ18,27-Apr-2018,968,971,968,971,0,0
ISK18,27-Apr-2018,973,976,973,976,0,0
IW,27-Apr-2018,458,464.48,458,464.48,0,0
IW.C,27-Apr-2018,458,466,458,466,0,0
IWJ18,27-Apr-2018,453,461,453,461,0,0
IWK18,27-Apr-2018,458,466,458,466,0,0
MW,27-Apr-2018,602.5,755.5,602.5,755.5,16002,56534
MW.C,27-Apr-2018,604,610,592.75,608,8645,33130
MWH19,27-Apr-2018,634.25,637.75,627.5,637.75,469,1875
MWK18,27-Apr-2018,602.5,607.5,589.25,606.25,3040,2097
MWK19,27-Apr-2018,638.75,645.5,636.75,645.5,127,241
MWN18,27-Apr-2018,604,610,592.75,608,8645,33130
MWN19,27-Apr-2018,646,652.5,646,652.5,80,177
MWU18,27-Apr-2018,611,616.5,600.75,614.25,2527,10926
MWU19,27-Apr-2018,633,636.25,633,636.25,1,79
MWZ18,27-Apr-2018,621.25,626.25,614,626,1113,8007
MWZ19,27-Apr-2018,635,638.75,635,638.75,0,2
NW,27-Apr-2018,522.55,536.88,522.55,536.88,0,0
