Symbol,Date,Open,High,Low,Close,Volume,OpenInt
ARM18,03-Apr-2018 09:15,1.0584,1.0584,1.0584,1.0584,7,0
AUM18,03-Apr-2018 09:10,0.7676,0.7676,0.7676,0.7676,2,0
AUM18,03-Apr-2018 09:40,0.7675,0.7675,0.7675,0.7675,2,0
AUM18,03-Apr-2018 12:55,0.7685,0.7685,0.7684,0.7684,4,0
AUM18,03-Apr-2018 13:10,0.7684,0.7684,0.7684,0.7684,3,0
AUM18,03-Apr-2018 14:10,0.7684,0.7684,0.7684,0.7684,3,0
CCH19,03-Apr-2018 09:00,2603,2603,2603,2603,28,0
CCH19,03-Apr-2018 09:05,2603,2603,2597,2597,62,0
CCH19,03-Apr-2018 09:15,2593,2593,2593,2593,47,0
CCH19,03-Apr-2018 09:20,2593,2593,2593,2593,3,0
CCH19,03-Apr-2018 09:35,2584,2584,2584,2584,1,0
CCH19,03-Apr-2018 09:40,2579,2579,2578,2578,51,0
CCH19,03-Apr-2018 09:50,2583,2586,2583,2586,58,0
CCH19,03-Apr-2018 10:00,2584,2585,2575,2575,39,0
CCH19,03-Apr-2018 10:05,2575,2575,2575,2575,49,0
CCH19,03-Apr-2018 10:20,2567,2568,2567,2567,13,0
CCH19,03-Apr-2018 10:25,2550,2550,2550,2550,4,0
CCH19,03-Apr-2018 10:30,2551,2551,2551,2551,1,0
CCH19,03-Apr-2018 10:40,2540,2540,2540,2540,1,0
CCH19,03-Apr-2018 10:45,2535,2546,2535,2546,16,0
CCH19,03-Apr-2018 10:50,2545,2545,2543,2543,5,0
CCH19,03-Apr-2018 11:00,2540,2540,2540,2540,2,0
CCH19,03-Apr-2018 11:10,2540,2540,2540,2540,1,0
CCH19,03-Apr-2018 11:20,2545,2545,2545,2545,10,0
CCH19,03-Apr-2018 11:25,2543,2543,2543,2543,1,0
CCH19,03-Apr-2018 11:45,2544,2544,2544,2544,2,0
CCH19,03-Apr-2018 11:55,2546,2546,2546,2546,1,0
CCH19,03-Apr-2018 12:10,2536,2536,2536,2536,1,0
CCH19,03-Apr-2018 12:20,2535,2535,2535,2535,1,0
CCH19,03-Apr-2018 12:25,2536,2536,2531,2531,7,0
CCK18,03-Apr-2018 09:00,2568,2569,2565,2569,159,0
CCK18,03-Apr-2018 09:05,2569,2570,2556,2556,399,0
CCK18,03-Apr-2018 09:10,2556,2556,2548,2553,623,0
CCK18,03-Apr-2018 09:15,2552,2554,2551,2553,272,0
CCK18,03-Apr-2018 09:20,2553,2558,2552,2553,210,0
CCK18,03-Apr-2018 09:25,2553,2554,2545,2551,346,0
CCK18,03-Apr-2018 09:30,2551,2554,2546,2546,266,0
CCK18,03-Apr-2018 09:35,2545,2545,2529,2542,1092,0
CCK18,03-Apr-2018 09:40,2541,2544,2534,2535,168,0
CCK18,03-Apr-2018 09:45,2535,2542,2532,2534,195,0
CCK18,03-Apr-2018 09:50,2535,2543,2534,2542,165,0
CCK18,03-Apr-2018 09:55,2543,2545,2541,2544,156,0
CCK18,03-Apr-2018 10:00,2543,2543,2529,2529,509,0
CCK18,03-Apr-2018 10:05,2529,2532,2525,2529,575,0
CCK18,03-Apr-2018 10:10,2528,2528,2521,2525,469,0
CCK18,03-Apr-2018 10:15,2526,2527,2515,2521,568,0
CCK18,03-Apr-2018 10:20,2520,2524,2516,2517,299,0
CCK18,03-Apr-2018 10:25,2517,2521,2499,2504,1485,0
CCK18,03-Apr-2018 10:30,2504,2505,2491,2498,979,0
CCK18,03-Apr-2018 10:35,2497,2499,2477,2493,1234,0
CCK18,03-Apr-2018 10:40,2493,2497,2489,2495,776,0
CCK18,03-Apr-2018 10:45,2495,2505,2488,2501,2211,0
CCK18,03-Apr-2018 10:50,2500,2500,2494,2494,404,0
CCK18,03-Apr-2018 10:55,2495,2496,2492,2492,121,0
CCK18,03-Apr-2018 11:00,2493,2496,2491,2494,160,0
CCK18,03-Apr-2018 11:05,2494,2497,2492,2495,72,0
CCK18,03-Apr-2018 11:10,2495,2500,2493,2499,183,0
CCK18,03-Apr-2018 11:15,2498,2500,2497,2498,80,0
CCK18,03-Apr-2018 11:20,2497,2497,2494,2496,72,0
CCK18,03-Apr-2018 11:25,2496,2498,2496,2498,57,0
CCK18,03-Apr-2018 11:30,2497,2497,2485,2486,241,0
CCK18,03-Apr-2018 11:35,2486,2490,2485,2488,215,0
CCK18,03-Apr-2018 11:40,2489,2495,2489,2495,78,0
CCK18,03-Apr-2018 11:45,2495,2496,2494,2496,53,0
CCK18,03-Apr-2018 11:50,2496,2498,2495,2495,92,0
CCK18,03-Apr-2018 11:55,2497,2498,2491,2491,116,0
CCK18,03-Apr-2018 12:00,2491,2494,2490,2493,46,0
CCK18,03-Apr-2018 12:05,2493,2494,2489,2490,77,0
CCK18,03-Apr-2018 12:10,2490,2491,2488,2489,38,0
CCK18,03-Apr-2018 12:15,2490,2491,2488,2488,36,0
CCK18,03-Apr-2018 12:20,2489,2489,2483,2487,137,0
CCK18,03-Apr-2018 12:25,2487,2488,2485,2485,217,0
CCK19,03-Apr-2018 09:35,2588,2588,2588,2588,1,0
CCK19,03-Apr-2018 09:40,2582,2582,2582,2582,3,0
CCK19,03-Apr-2018 10:20,2570,2572,2570,2571,14,0
CCK19,03-Apr-2018 10:30,2545,2545,2545,2545,1,0
