Symbol,Date,Open,High,Low,Close,Volume,OpenInt
A9H19,30-Apr-2018,6236.9,6236.9,6235.3,6235.3,0,0
A9M18,30-Apr-2018,6142.5,6142.5,6140.9,6140.9,0,0
A9M19,30-Apr-2018,6273.8,6273.8,6272.2,6272.2,0,0
A9U18,30-Apr-2018,6173.6,6173.6,6172,6172,0,0
A9Z18,30-Apr-2018,6205.4,6205.4,6203.8,6203.8,0,0
AFH19,30-Apr-2018,2538.7,2538.7,2512.6,2512.6,0,0
AFM18,30-Apr-2018,2538.7,2538.7,2512.6,2512.6,0,0
AFM19,30-Apr-2018,2538.7,2538.7,2512.6,2512.6,0,0
AFU18,30-Apr-2018,2538.7,2538.7,2512.6,2512.6,0,0
AFZ18,30-Apr-2018,2538.7,2538.7,2512.6,2512.6,0,0
AMH19,30-Apr-2018,532.3,534.7,532.3,534.7,0,0
AMM18,30-Apr-2018,523.9,526.3,523.9,526.3,0,0
AMM19,30-Apr-2018,535.6,538,535.6,538,0,0
AMU18,30-Apr-2018,526.7,529.1,526.7,529.1,0,0
AMZ18,30-Apr-2018,529.5,531.9,529.5,531.9,0,0
ANH19,30-Apr-2018,1203,1207.3,1203,1207.3,0,0
ANM18,30-Apr-2018,1203,1207.3,1203,1207.3,0,0
ANM19,30-Apr-2018,1203,1207.3,1203,1207.3,0,0
ANU18,30-Apr-2018,1203,1207.3,1203,1207.3,0,0
ANZ18,30-Apr-2018,1203,1207.3,1203,1207.3,0,0
AOH19,30-Apr-2018,1195.3,1199.6,1195.3,1199.6,0,0
AOM18,30-Apr-2018,1195.3,1199.6,1195.3,1199.6,0,850
AOM19,30-Apr-2018,1195.3,1199.6,1195.3,1199.6,0,0
AOU18,30-Apr-2018,1195.3,1199.6,1195.3,1199.6,0,0
AOZ18,30-Apr-2018,1195.3,1199.6,1195.3,1199.6,0,0
AR,30-Apr-2018,1.0691,1.0714,1.0681,1.0698,4,1386
ARH19,30-Apr-2018,1.071,1.0714,1.071,1.0714,0,0
ARM18,30-Apr-2018,1.0709,1.0709,1.0699,1.0699,4,1386
ARU18,30-Apr-2018,1.0701,1.0703,1.0701,1.0703,0,0
ARZ18,30-Apr-2018,1.0707,1.0709,1.0707,1.0709,0,0
AS,30-Apr-2018,0.9719,0.973,0.966,0.9669,0,11
ASH19,30-Apr-2018,0.9691,0.9691,0.9636,0.9636,0,0
ASM18,30-Apr-2018,0.9718,0.9718,0.9661,0.9661,0,11
ASU18,30-Apr-2018,0.9705,0.9705,0.9649,0.9649,0,0
ASZ18,30-Apr-2018,0.9696,0.9696,0.964,0.964,0,0
AU,30-Apr-2018,0.7569,0.7583,0.7526,0.7531,44,223
AUH19,30-Apr-2018,0.76,0.76,0.7551,0.7551,0,0
AUM18,30-Apr-2018,0.756,0.756,0.753,0.753,44,223
AUU18,30-Apr-2018,0.7585,0.7585,0.7535,0.7535,0,0
AUZ18,30-Apr-2018,0.7592,0.7592,0.7542,0.7542,0,0
CC,30-Apr-2018,2738,3066,2738,3066,37253,301965
CCH19,30-Apr-2018,2740,2768,2700,2758,2503,32499
CCH20,30-Apr-2018,2714,2715,2714,2715,2,10
CCK18,30-Apr-2018,2851,2851,2845,2845,0,75
