Symbol,Date,Open,High,Low,Close,Volume,OpenInt
CLF19,02-Apr-2018 09:00,60.66,60.66,60.66,60.66,1,0
CLF19,02-Apr-2018 09:20,60.77,60.77,60.77,60.77,1,0
CLF19,02-Apr-2018 09:25,60.73,60.73,60.73,60.73,1,0
CLF19,02-Apr-2018 09:30,60.74,60.74,60.71,60.71,2,0
CLF19,02-Apr-2018 09:35,60.74,60.74,60.74,60.74,4,0
CLF19,02-Apr-2018 09:45,60.37,60.37,60.34,60.34,2,0
CLF19,02-Apr-2018 10:15,60.34,60.34,60.34,60.34,1,0
CLF19,02-Apr-2018 10:20,60.42,60.42,60.42,60.42,2,0
CLF19,02-Apr-2018 10:55,59.98,59.98,59.98,59.98,1,0
CLF19,02-Apr-2018 11:00,60.03,60.03,60.03,60.03,1,0
CLF19,02-Apr-2018 11:05,60.02,60.02,59.99,59.99,2,0
CLF19,02-Apr-2018 11:15,60.01,60.01,60.01,60.01,1,0
CLF19,02-Apr-2018 11:35,60.13,60.13,60.13,60.13,1,0
CLF19,02-Apr-2018 11:40,60.17,60.17,60.17,60.17,1,0
CLF19,02-Apr-2018 12:00,60.14,60.14,60.14,60.14,1,0
CLF19,02-Apr-2018 12:05,60.19,60.19,60.18,60.18,2,0
CLF19,02-Apr-2018 12:10,60.17,60.17,60.17,60.17,1,0
CLF19,02-Apr-2018 12:45,59.93,59.93,59.93,59.93,1,0
CLF19,02-Apr-2018 13:10,59.96,59.96,59.96,59.96,1,0
CLF19,02-Apr-2018 13:25,59.9,59.9,59.9,59.9,1,0
CLF19,02-Apr-2018 13:35,59.91,59.91,59.91,59.91,1,0
CLF19,02-Apr-2018 14:25,59.98,59.98,59.98,59.98,1,0
CLG19,02-Apr-2018 09:10,60.2,60.2,60.14,60.16,4,0
CLG19,02-Apr-2018 09:45,59.91,60.03,59.91,60.03,4,0
CLG19,02-Apr-2018 11:05,59.54,59.54,59.42,59.42,2,0
CLG19,02-Apr-2018 11:25,59.61,59.61,59.61,59.61,1,0
CLG19,02-Apr-2018 11:30,59.65,59.65,59.65,59.65,2,0
CLH19,02-Apr-2018 09:00,59.81,59.81,59.76,59.76,2,0
CLH19,02-Apr-2018 09:20,59.82,59.86,59.82,59.86,4,0
CLH19,02-Apr-2018 09:45,59.61,59.62,59.49,59.62,4,0
CLH19,02-Apr-2018 09:55,59.55,59.55,59.48,59.48,3,0
CLH19,02-Apr-2018 10:00,59.58,59.58,59.58,59.58,1,0
CLH19,02-Apr-2018 10:15,59.52,59.52,59.52,59.52,1,0
CLH19,02-Apr-2018 10:20,59.47,59.47,59.47,59.47,1,0
CLH19,02-Apr-2018 10:25,59.46,59.52,59.46,59.52,4,0
CLH19,02-Apr-2018 10:35,59.32,59.32,59.32,59.32,1,0
CLH19,02-Apr-2018 10:40,59.21,59.21,59.21,59.21,2,0
CLH19,02-Apr-2018 10:45,59.19,59.19,59.19,59.19,1,0
CLH19,02-Apr-2018 10:50,59.21,59.21,59.13,59.13,2,0
CLH19,02-Apr-2018 10:55,59.13,59.22,59.13,59.22,7,0
CLH19,02-Apr-2018 11:00,59.18,59.18,59.14,59.17,5,0
CLH19,02-Apr-2018 11:05,59.18,59.18,59,59,4,0
CLH19,02-Apr-2018 11:10,59.08,59.08,59.08,59.08,1,0
CLH19,02-Apr-2018 11:15,59.12,59.14,59.12,59.12,3,0
CLH19,02-Apr-2018 11:20,59.13,59.14,59.11,59.11,4,0
CLH19,02-Apr-2018 11:25,59.17,59.22,59.17,59.22,2,0
CLH19,02-Apr-2018 11:30,59.25,59.25,59.25,59.25,2,0
CLH19,02-Apr-2018 11:40,59.26,59.26,59.26,59.26,2,0
CLH19,02-Apr-2018 11:45,59.24,59.27,59.24,59.27,4,0
CLH19,02-Apr-2018 11:50,59.27,59.27,59.27,59.27,2,0
CLH19,02-Apr-2018 12:00,59.24,59.27,59.24,59.27,4,0
CLH19,02-Apr-2018 12:05,59.32,59.32,59.32,59.32,1,0
CLH19,02-Apr-2018 12:10,59.32,59.32,59.32,59.32,2,0
CLH19,02-Apr-2018 12:20,59.22,59.22,59.22,59.22,1,0
CLH19,02-Apr-2018 12:25,59.21,59.21,59.21,59.21,4,0
