Symbol,Date,Open,High,Low,Close,Volume,OpenInt
BH.C,27-Apr-2018,2.14,2.14,2.13,2.13,0,19
BHF19,27-Apr-2018,2.1231,2.1231,2.119,2.119,0,9
BHF20,27-Apr-2018,2.0847,2.0847,2.0829,2.0829,0,0
BHG19,27-Apr-2018,2.1161,2.1161,2.1121,2.1121,0,9
BHG20,27-Apr-2018,2.082,2.082,2.0799,2.0799,0,0
BHH19,27-Apr-2018,2.1026,2.1026,2.0989,2.0989,0,9
BHH20,27-Apr-2018,2.0695,2.0695,2.0665,2.0665,0,0
BHJ19,27-Apr-2018,2.0834,2.0834,2.0797,2.0797,0,9
BHJ20,27-Apr-2018,2.0495,2.0495,2.0449,2.0449,0,0
BHK18,27-Apr-2018,2.16,2.16,2.1509,2.1509,0,19
BHK19,27-Apr-2018,2.0713,2.0713,2.0674,2.0674,0,9
BHK20,27-Apr-2018,2.0341,2.0341,2.0283,2.0283,0,0
BHM18,27-Apr-2018,2.1416,2.1416,2.1343,2.1343,0,19
BHM19,27-Apr-2018,2.0616,2.0616,2.058,2.058,0,9
BHM20,27-Apr-2018,2.0219,2.0219,2.0149,2.0149,0,0
BHN18,27-Apr-2018,2.133,2.133,2.1269,2.1269,0,19
BHN19,27-Apr-2018,2.0581,2.0581,2.0546,2.0546,0,9
BHN20,27-Apr-2018,2.0178,2.0178,2.0096,2.0096,0,0
BHQ18,27-Apr-2018,2.1284,2.1284,2.1231,2.1231,0,19
BHQ19,27-Apr-2018,2.0586,2.0586,2.0554,2.0554,0,9
BHQ20,27-Apr-2018,2.0131,2.0131,2.0036,2.0036,0,0
BHU18,27-Apr-2018,2.128,2.128,2.1238,2.1238,0,19
BHU19,27-Apr-2018,2.0624,2.0624,2.0597,2.0597,0,9
BHU20,27-Apr-2018,2.0094,2.0094,1.9987,1.9987,0,0
BHV18,27-Apr-2018,2.1283,2.1283,2.1243,2.1243,0,19
BHV19,27-Apr-2018,2.0678,2.0678,2.0651,2.0651,0,9
BHV20,27-Apr-2018,2.003,2.003,1.9911,1.9911,0,0
BHX18,27-Apr-2018,2.1278,2.1278,2.1237,2.1237,0,19
BHX19,27-Apr-2018,2.0744,2.0744,2.0718,2.0718,0,9
BHX20,27-Apr-2018,1.997,1.997,1.9838,1.9838,0,0
BHZ18,27-Apr-2018,2.1252,2.1252,2.121,2.121,0,19
BHZ19,27-Apr-2018,2.0799,2.0799,2.0775,2.0775,0,9
BHZ20,27-Apr-2018,1.9919,1.9919,1.9775,1.9775,0,0
CJ.C,27-Apr-2018,2802,2831,2802,2831,0,0
CJH19,27-Apr-2018,2720,2750,2720,2750,0,0
CJH20,27-Apr-2018,2716,2716,2714,2714,0,0
CJK19,27-Apr-2018,2709,2731,2709,2731,0,0
CJN18,27-Apr-2018,2802,2831,2802,2831,0,0
