Symbol,Date,Open,High,Low,Close,Volume
A,27-Apr-2018,66.34,66.56,65.96,66.28,1189100
AA,27-Apr-2018,52.56,52.99,51.1,51.6,4355200
AAC,27-Apr-2018,10.59,11.05,10.38,11.02,107700
AAN,27-Apr-2018,42.2,42.97,41.26,41.79,1671200
AAP,27-Apr-2018,113.15,116.61,112.65,116.34,1158600
AAT,27-Apr-2018,33.09,34.22,33.09,34.06,171900
AAV,27-Apr-2018,3.25,3.275,3.2,3.2,80300
AB,27-Apr-2018,26.4,26.95,26.25,26.9,162400
ABB,27-Apr-2018,23.25,23.38,23.16,23.28,1427000
ABBV,27-Apr-2018,97.44,99.35,96.37,98.73,6117500
ABC,27-Apr-2018,91.93,93.25,91.725,93.07,1080600
ABEV,27-Apr-2018,6.74,6.75,6.66,6.7,13721700
ABG,27-Apr-2018,69.15,69.5,68.05,68.75,218900
ABM,27-Apr-2018,31.82,32.03,31.26,31.31,526200
ABR,27-Apr-2018,8.71,8.8,8.705,8.78,404200
ABR-A,27-Apr-2018,25.69,25.69,25.69,25.69,100
ABR-B,27-Apr-2018,25.17,25.2,25.16,25.16,1400
ABR-C,27-Apr-2018,26.12,26.12,26.12,26.12,100
ABT,27-Apr-2018,59.49,59.69,59.14,59.56,4135300
ABX,27-Apr-2018,13.62,13.8,13.62,13.77,7882200
AC,27-Apr-2018,36.6,36.85,36.35,36.4,12000
ACC,27-Apr-2018,38.38,39.55,38.38,39.38,539400
ACCO,27-Apr-2018,12.5,12.55,12.3,12.4,508600
ACH,27-Apr-2018,14.13,14.28,14.11,14.16,90600
ACM,27-Apr-2018,34.85,35.11,34.61,35.04,589000
ACN,27-Apr-2018,152.29,152.97,151.19,152.39,1179500
ACP,27-Apr-2018,13.93,14.03,13.88,14.03,55500
ACRE,27-Apr-2018,12.25,12.29,12.22,12.24,72000
ACV,27-Apr-2018,22.64,22.7,22.43,22.69,28800
ADC,27-Apr-2018,48.58,49.59,48.52,49.47,177600
ADM,27-Apr-2018,45.86,46.24,45.7,46.05,2691700
ADNT,27-Apr-2018,62.72,62.86,61.76,62.06,852100
ADS,27-Apr-2018,204.05,204.94,203.93,204.48,402700
ADSW,27-Apr-2018,22.36,22.6,22.325,22.5,206400
ADT,27-Apr-2018,9.07,9.22,9.04,9.11,1356600
ADX,27-Apr-2018,14.95,15.01,14.88,14.95,241200
AEB,27-Apr-2018,24.69,24.7,24.6,24.7,5700
AED,27-Apr-2018,25.78,25.9,25.77,25.78,8700
AEE,27-Apr-2018,57.74,58.715,57.73,58.6,1226500
AEG,27-Apr-2018,7.27,7.33,7.24,7.33,956100
AEH,27-Apr-2018,25.78,25.78,25.63,25.67,36700
AEK,27-Apr-2018,25.47,25.48,25.47,25.47,30100
AEL,27-Apr-2018,30.63,30.85,30.43,30.78,221500
AEM,27-Apr-2018,44.09,44.41,43.63,43.96,1208100
AEO,27-Apr-2018,21.57,21.62,20.805,21.19,5014100
AEP,27-Apr-2018,69.5,70.98,69.5,70.55,3009900
AER,27-Apr-2018,52.26,52.61,51.865,52.59,637900
AES,27-Apr-2018,12.16,12.45,12.14,12.31,6476700
AET,27-Apr-2018,178.71,181.26,178.71,179.88,1101600
AEUA,27-Apr-2018,31.28,31.28,30.49,30.65,45600
AFB,27-Apr-2018,12.42,12.47,12.38,12.4,117400
AFC,27-Apr-2018,25.5,25.54,25.49,25.49,6500
AFG,27-Apr-2018,114,115.38,113.87,114.26,259300
AFGE,27-Apr-2018,25.53,25.65,25.53,25.6,2700
AFGH,27-Apr-2018,25.38,25.49,25.32,25.49,8000
AFI,27-Apr-2018,12.86,12.91,12.42,12.49,120400
AFL,27-Apr-2018,45.56,45.99,45.47,45.89,2220200
AFS-A,27-Apr-2018,18.21,18.45,18.15,18.15,1700
AFS-B,27-Apr-2018,18.4,18.5,18.125,18.46,7600
AFS-C,27-Apr-2018,19.1,19.12,18.74,19.1,33700
AFS-D,27-Apr-2018,19.31,19.34,18.97,19.1,30600
AFS-E,27-Apr-2018,21.8,21.8,21.21,21.6,8400
AFS-F,27-Apr-2018,18.03,18.34,18,18.03,25100
AFSS,27-Apr-2018,23.3,23.59,23.3,23.57,3100
AFST,27-Apr-2018,24.02,24.55,24.02,24.16,14500
AFT,27-Apr-2018,17.01,17.01,16.77,16.8,142400
AG,27-Apr-2018,6.74,6.895,6.7,6.77,1767500
AGC,27-Apr-2018,5.64,5.66,5.61,5.64,93700
AGCO,27-Apr-2018,62.68,63.44,62.56,63.43,862000
AGD,27-Apr-2018,10.58,10.6,10.55,10.59,17800
AGI,27-Apr-2018,5.39,5.52,5.38,5.47,1052500
AGM,27-Apr-2018,87.61,88.23,85.985,86.14,27500
AGM-A,27-Apr-2018,25.07,25.16,25.07,25.16,400
AGM-B,27-Apr-2018,25.63,25.63,25.63,25.63,500
AGM.A,27-Apr-2018,81,81,80.69,80.69,400
AGN,27-Apr-2018,161.2,162.95,159.99,162.04,1898100
AGO,27-Apr-2018,36.67,37.1,36.46,36.86,534000
AGO-B,27-Apr-2018,25.68,25.75,25.68,25.74,3400
AGO-E,27-Apr-2018,25.11,25.11,24.99,25.04,7200
AGO-F,27-Apr-2018,24.66,24.9,24.63,24.68,2600
AGR,27-Apr-2018,52.74,52.88,52.07,52.51,497700
AGRO,27-Apr-2018,7.78,7.905,7.78,7.84,195900
AGS,27-Apr-2018,22.58,22.94,22.425,22.72,24000
AGX,27-Apr-2018,40,40.995,39.65,40.75,250600
AHC,27-Apr-2018,5.7,5.7,5.5,5.6,7000
AHH,27-Apr-2018,13.45,13.66,13.45,13.64,134100
AHL,27-Apr-2018,44.6,45.6,42.2,43,2481100
AHL-C,27-Apr-2018,25.44,25.48,25.34,25.47,20900
AHL-D,27-Apr-2018,24.18,24.6,24.18,24.38,23800
AHT,27-Apr-2018,6.88,7,6.88,6.93,583000
AHT-D,27-Apr-2018,25.49,25.5,25.45,25.49,4500
AHT-F,27-Apr-2018,22.59,22.63,22.56,22.56,4200
AHT-G,27-Apr-2018,22.55,22.59,22.42,22.55,6300
AHT-H,27-Apr-2018,22.86,22.86,22.83,22.83,1100
AHT-I,27-Apr-2018,22.83,22.85,22.74,22.85,2100
AI,27-Apr-2018,11.34,11.53,11.34,11.48,603000
AI-B,27-Apr-2018,24.85,24.85,24.76,24.85,1700
AIC,27-Apr-2018,23.56,23.84,23.5,23.84,3800
AIF,27-Apr-2018,15.74,15.74,15.59,15.63,68600
AIG,27-Apr-2018,55.57,56.3,55.57,56.25,4837000
AIG.W,27-Apr-2018,17.05,17.55,17.04,17.4,131400
AIN,27-Apr-2018,60.7,60.8,59.75,60.4,58800
AIR,27-Apr-2018,44.3,44.3,43.6,43.98,103600
AIT,27-Apr-2018,66.4,66.5,64.05,64.7,502300
AIV,27-Apr-2018,40.23,41.06,40.15,40.93,759000
AIV-A,27-Apr-2018,25.95,25.95,25.95,25.95,400
AIW,27-Apr-2018,23.61,23.85,23.58,23.82,3900
AIY,27-Apr-2018,25.13,25.19,25.13,25.17,14900
AIZ,27-Apr-2018,93.25,94.21,93.17,93.99,278500
AIZP,27-Apr-2018,106.09,107.23,106.09,106.46,28000
AJG,27-Apr-2018,69.97,70.755,69.81,70.62,540700
AJRD,27-Apr-2018,29.1,29.1,28.11,28.51,744400
AJX,27-Apr-2018,13.46,13.51,13.42,13.43,15100
AJXA,27-Apr-2018,25.2,25.2,25.2,25.2,1500
AKO.A,27-Apr-2018,26.01,26.01,26.01,26.01,100
AKO.B,27-Apr-2018,30.7,30.8,29.68,30.8,6700
AKP,27-Apr-2018,12.76,12.76,12.7,12.7,7600
AKR,27-Apr-2018,23.13,24.02,23.13,23.97,804500
AKS,27-Apr-2018,4.8,4.835,4.54,4.75,25906300
AL,27-Apr-2018,42.05,42.49,42.01,42.35,385700
ALB,27-Apr-2018,96.41,97.66,96.14,96.95,857200
ALE,27-Apr-2018,76.5,77.435,76.44,77.08,201000
ALEX,27-Apr-2018,22.91,23.34,22.91,23.25,188000
ALG,27-Apr-2018,110.62,111.395,108.52,110.21,46700
ALK,27-Apr-2018,65.89,67.06,65.83,66.02,1628900
ALL,27-Apr-2018,97.45,98.39,97.43,98.19,1292700
ALL-A,27-Apr-2018,24.98,25.05,24.97,24.99,4600
ALL-B,27-Apr-2018,25.47,25.57,25.3,25.33,37200
ALL-C,27-Apr-2018,25.61,25.64,25.56,25.57,34100
ALL-D,27-Apr-2018,26,26.04,25.94,25.94,8300
ALL-E,27-Apr-2018,26.11,26.18,25.95,26,55200
ALL-F,27-Apr-2018,25.85,25.95,25.76,25.76,15500
ALL-G,27-Apr-2018,25.12,25.12,25.03,25.07,159300
ALL-Y,27-Apr-2018,26.6,26.72,26.58,26.64,47500
ALLE,27-Apr-2018,78.03,78.69,77.05,77.83,1842500
ALLY,27-Apr-2018,27.24,27.32,26.63,26.68,3128700
ALP-Q,27-Apr-2018,25.16,25.2,24.95,24.98,18700
ALSN,27-Apr-2018,38.87,39.31,38.51,39.14,918400
ALV,27-Apr-2018,142.77,143.74,135.94,136.67,1921000
ALX,27-Apr-2018,387.965,395.64,387.965,394,10500
AM,27-Apr-2018,26.23,26.94,26.03,26.82,522300
AMBR,27-Apr-2018,8.98,9,8.86,8.98,45700
AMC,27-Apr-2018,17.2,17.6,17,17.2,1163000
AME,27-Apr-2018,71.53,71.53,70.3,70.95,1931800
AMG,27-Apr-2018,170,170.56,168.8,170,571800
AMGP,27-Apr-2018,17.2,17.34,16.78,17.31,410400
AMH,27-Apr-2018,19.97,20.185,19.92,20.08,1669600
AMH-D,27-Apr-2018,25.23,25.4,25.23,25.38,6700
AMH-E,27-Apr-2018,24.63,24.86,24.63,24.8,19800
AMH-F,27-Apr-2018,22.77,22.77,22.69,22.74,1100
AMH-G,27-Apr-2018,22.54,22.54,22.35,22.46,9500
AMID,27-Apr-2018,11.45,11.77,11.4,11.65,74600
AMN,27-Apr-2018,67,67,65.95,66.4,614400
AMOV,27-Apr-2018,18.625,18.625,18.52,18.609,900
AMP,27-Apr-2018,142.06,143.38,141.49,141.74,858700
AMRC,27-Apr-2018,12.1,12.4,11.95,12,108300
AMT,27-Apr-2018,134.75,135.81,133.53,135.24,2311100
AMX,27-Apr-2018,18.75,18.83,18.64,18.68,1574500
AN,27-Apr-2018,45.95,46.88,45.55,46.29,959500
ANDV,27-Apr-2018,124.69,125.05,121.41,122.38,1332400
ANDX,27-Apr-2018,48.5,48.88,48.07,48.82,353200
ANET,27-Apr-2018,262.62,266.65,259.99,262.75,721800
ANF,27-Apr-2018,26.85,26.94,25.14,25.58,3795400
ANFI,27-Apr-2018,3.7,3.74,3.67,3.73,124000
ANH,27-Apr-2018,4.75,4.8,4.75,4.79,247400
ANH-A,27-Apr-2018,26.15,26.15,26.15,26.15,1100
ANH-B,27-Apr-2018,25.25,25.25,25.25,25.25,1000
ANH-C,27-Apr-2018,25.05,25.08,25.05,25.08,3900
ANTM,27-Apr-2018,236.84,240.19,235.61,239.15,2773200
ANTX,27-Apr-2018,56.92,57.86,56.92,57.59,4322300
ANW,27-Apr-2018,2.7,2.85,2.65,2.65,157600
AOD,27-Apr-2018,9.04,9.05,8.99,9.01,145100
AOI,27-Apr-2018,21.65,21.65,20.6,20.8,128500
AON,27-Apr-2018,143,144.52,142.82,144.23,646500
AOS,27-Apr-2018,62.58,62.61,62.03,62.37,727500
AP,27-Apr-2018,10.45,10.65,10.2,10.4,65800
APA,27-Apr-2018,40.58,40.83,40.08,40.18,4044300
APAM,27-Apr-2018,32.5,32.825,32.35,32.5,237300
APB,27-Apr-2018,14.34,14.34,14.3,14.3,900
APC,27-Apr-2018,66.97,67.47,66.48,67.05,3474900
APD,27-Apr-2018,166.15,167,163.48,165.02,1031600
APF,27-Apr-2018,17.85,17.92,17.56,17.82,38900
APH,27-Apr-2018,83.9,84.605,83.51,84.28,1789500
APLE,27-Apr-2018,17.98,18.09,17.9,18.05,1140800
APO,27-Apr-2018,28.51,28.62,28.03,28.47,1090000
APO-A,27-Apr-2018,24.15,24.29,24.15,24.28,27900
APO-B,27-Apr-2018,24.18,24.23,24.14,24.2,82300
APRN,27-Apr-2018,2.24,2.25,2.08,2.09,7550500
APTS,27-Apr-2018,14.4,14.76,14.39,14.75,208400
APTV,27-Apr-2018,87.07,87.5,85.93,86.01,1135500
APU,27-Apr-2018,42,43.1,41.92,43.03,245900
AQ,27-Apr-2018,13.8,13.8,10.1,10.47,2070300
AQN,27-Apr-2018,9.68,9.8,9.68,9.76,111300
AQUA,27-Apr-2018,20.86,20.86,20.24,20.44,540100
AR,27-Apr-2018,19.29,19.47,19.04,19.1,2702700
ARA,27-Apr-2018,15.64,15.95,15.41,15.63,155700
ARC,27-Apr-2018,2.2,2.3,2.17,2.24,90900
