Symbol,Date,Open,High,Low,Close,Volume
AABB.OB,27-Apr-2018,0.0095,0.0095,0.0095,0.0095,10000
AABVF.OB,27-Apr-2018,0.1203,0.1203,0.1181,0.1181,92500
AACAY.OB,27-Apr-2018,14.57,14.57,14.34,14.425,10400
AACS.OB,27-Apr-2018,0.001,0.001,0.001,0.001,4700
AACTF.OB,27-Apr-2018,0.161,0.161,0.1535,0.1555,2200
AAEEF.OB,27-Apr-2018,0.0446,0.0446,0.0446,0.0446,100
AAGC.OB,27-Apr-2018,0.0001,0.0002,0.0001,0.0002,116200
AAGH.OB,27-Apr-2018,0.009,0.015,0.008,0.009,1500
AAGIY.OB,27-Apr-2018,34.75,35.5,34.75,35.33,126700
AAIGF.OB,27-Apr-2018,8.8475,8.9,8.8475,8.9,16300
AAMAF.OB,27-Apr-2018,2.85,2.88,2.85,2.87,14100
AAMTF.OB,27-Apr-2018,0.2976,0.35,0.2976,0.35,12000
AANR.OB,27-Apr-2018,22.8,22.8,22.73,22.73,4200
AAPH.OB,27-Apr-2018,0.0007,0.0007,0.0007,0.0007,0
AAPT.OB,27-Apr-2018,0.0002,0.0002,0.0001,0.0001,1316500
AAST.OB,27-Apr-2018,0.0195,0.0195,0.0195,0.0195,1500
AATRL.OB,27-Apr-2018,61.777,62,61.777,62,15100
AAUKF.OB,27-Apr-2018,23.47,23.47,23.47,23.47,0
AAVXF.OB,27-Apr-2018,8.4,8.4,8.4,8.4,200
ABAKF.OB,27-Apr-2018,3.4847,3.4847,3.4847,3.4847,0
ABBRF.OB,27-Apr-2018,0.1371,0.155,0.1332,0.155,9000
ABBY.OB,27-Apr-2018,0.0045,0.0055,0.004,0.0055,50300
ABCAF.OB,27-Apr-2018,0.1365,0.159,0.1365,0.1485,13000
ABCCF.OB,27-Apr-2018,1.28,1.3,1.246,1.28,514500
ABCE.OB,27-Apr-2018,0.0018,0.002,0.0015,0.0016,6548200
ABCFF.OB,27-Apr-2018,0.1681,0.1681,0.14,0.158,5400
ABCP.OB,27-Apr-2018,0.385,0.46,0.385,0.45,75000
ABCZF.OB,27-Apr-2018,17.89,17.89,17.89,17.89,0
ABCZY.OB,27-Apr-2018,17.81,17.81,17.81,17.81,600
ABEPF.OB,27-Apr-2018,0.3833,0.3833,0.3833,0.3833,0
ABKI.OB,27-Apr-2018,0.001,0.001,0.0001,0.0001,372100
ABMT.OB,27-Apr-2018,0.55,0.55,0.55,0.55,0
ABNAF.OB,27-Apr-2018,0.126,0.126,0.126,0.126,20000
ABNRY.OB,27-Apr-2018,15.467,15.61,15.467,15.61,9900
ABQQ.OB,27-Apr-2018,4.18,4.18,4.18,4.18,100
ABRTY.OB,27-Apr-2018,11.15,11.15,11.15,11.15,0
ABVG.OB,27-Apr-2018,0.0001,0.0001,0.0001,0.0001,3229900
ABWN.OB,27-Apr-2018,1.1,1.16,0.93,0.93,339400
ACAN.OB,27-Apr-2018,3.01,3.5,3.01,3.5,151400
ACAR.OB,27-Apr-2018,3,3,3,3,200
ACAZF.OB,27-Apr-2018,15.09,15.09,15.09,15.09,400
ACBD.OB,27-Apr-2018,1.15,1.15,1.15,1.15,0
ACBFF.OB,27-Apr-2018,6.07,6.13,5.86,5.98,1238900
ACCA.OB,27-Apr-2018,0.352,0.45,0.352,0.45,3700
ACCR.OB,27-Apr-2018,0.0001,0.0001,0.0001,0.0001,0
ACCYY.OB,27-Apr-2018,11.09,11.16,11.07,11.115,3400
ACDVF.OB,27-Apr-2018,19.25,19.4722,19.2422,19.45,2800
ACEEU.OB,27-Apr-2018,9802,9802,9802,9802,0
ACFL.OB,27-Apr-2018,0.25,0.25,0.25,0.25,1500
ACFN.OB,27-Apr-2018,0.36,0.3898,0.355,0.37,42600
ACGBY.OB,27-Apr-2018,13.8375,13.88,13.805,13.88,1900
