Symbol,Date,Open,High,Low,Close,Volume
AAB.TO,27-Apr-2018,0.16,0.16,0.16,0.16,84500
AAR.UN.TO,27-Apr-2018,8.08,8.09,8.07,8.08,346016
AAV.TO,27-Apr-2018,4.19,4.23,4.11,4.16,1240490
ABT.TO,27-Apr-2018,6.97,6.98,6.94,6.98,1920
ABX.TO,27-Apr-2018,17.58,17.72,17.52,17.67,804431
AC.TO,27-Apr-2018,24.75,25.02,24.75,25.01,585354
ACB.TO,27-Apr-2018,7.78,7.78,7.56,7.65,4309343
ACB.WT.TO,27-Apr-2018,4.67,4.67,4.2,4.37,47354
ACO.X.TO,27-Apr-2018,39.77,39.96,39.4,39.53,125319
ACO.Y.TO,27-Apr-2018,39.77,39.77,39.5,39.5,950
ACQ.TO,27-Apr-2018,21.75,21.88,21.56,21.72,33385
ACR.UN.TO,27-Apr-2018,11.02,11.09,10.93,11.09,11721
ACZ.UN.TO,27-Apr-2018,11.95,11.95,11.95,11.95,0
AD.TO,27-Apr-2018,17.35,17.43,17.2,17.27,46838
ADC.UN.TO,27-Apr-2018,6.42,6.42,6.42,6.42,0
ADN.TO,27-Apr-2018,19.47,19.52,19.46,19.52,5281
ADW.A.TO,27-Apr-2018,18,18.15,18,18.11,15413
ADW.B.TO,27-Apr-2018,18.1,18.1,18.05,18.1,1100
AEF.TO,27-Apr-2018,2.25,2.25,2.25,2.25,2300
AEF.WT.TO,27-Apr-2018,0.04,0.04,0.04,0.04,0
AEM.TO,27-Apr-2018,57.06,57.1,56.14,56.45,259150
AEZS.TO,27-Apr-2018,2.12,2.15,2.1,2.13,3000
AFN.TO,27-Apr-2018,52.18,52.52,52.04,52.45,9347
AFN.DB.B.TO,27-Apr-2018,101.1,101.1,101.1,101.1,0
AFN.DB.C.TO,27-Apr-2018,104,104,104,104,34000
AFN.DB.D.TO,27-Apr-2018,101,101,101,101,35000
AFN.DB.E.TO,27-Apr-2018,100.75,100.75,100.75,100.75,4000
AGF.B.TO,27-Apr-2018,7.18,7.27,7.12,7.13,55166
AGI.TO,27-Apr-2018,6.88,7.09,6.88,7.03,283857
AGI.WT.A.TO,27-Apr-2018,0.3,0.32,0.3,0.32,2500
AGT.TO,27-Apr-2018,16.4,16.47,16.26,16.4,16333
AHY.UN.TO,27-Apr-2018,7.58,7.58,7.58,7.58,0
AI.TO,27-Apr-2018,12.51,12.6,12.5,12.56,28076
AI.DB.TO,27-Apr-2018,100.25,100.25,99.5,99.5,28000
AI.DB.B.TO,27-Apr-2018,101.5,101.5,101.5,101.5,0
