Symbol,Date,Open,High,Low,Close,Volume
AA.V,30-Apr-2018,0.14,0.16,0.14,0.16,136100
AAG.H.V,30-Apr-2018,0.105,0.125,0.105,0.125,69664
AAL.V,30-Apr-2018,0.96,0.96,0.95,0.95,102054
AAN.V,30-Apr-2018,0.04,0.04,0.04,0.04,10000
AAO.V,30-Apr-2018,0.02,0.02,0.02,0.02,100000
AAZ.V,30-Apr-2018,0.105,0.105,0.095,0.1,103500
ABCN.V,30-Apr-2018,1.63,1.65,1.62,1.64,585353
ABI.V,30-Apr-2018,0.06,0.06,0.06,0.06,35700
ABM.V,30-Apr-2018,0.19,0.19,0.16,0.17,40000
ABN.V,30-Apr-2018,0.17,0.17,0.165,0.17,178475
ABR.V,30-Apr-2018,0.075,0.075,0.075,0.075,30500
ABRA.V,30-Apr-2018,0.185,0.19,0.16,0.19,56634
ACE.H.V,30-Apr-2018,0.18,0.2,0.18,0.2,39500
ACP.V,30-Apr-2018,0.095,0.095,0.095,0.095,1000
ACST.V,30-Apr-2018,1.01,1.01,0.97,0.99,73840
ACU.V,30-Apr-2018,0.2,0.2,0.2,0.2,8651
ADD.V,30-Apr-2018,0.165,0.175,0.165,0.175,101650
ADE.V,30-Apr-2018,0.01,0.01,0.01,0.01,5000
ADG.V,30-Apr-2018,0.055,0.055,0.055,0.055,6000
ADK.V,30-Apr-2018,0.065,0.07,0.065,0.07,6000
ADYA.V,30-Apr-2018,0.04,0.04,0.04,0.04,2000
ADZ.V,30-Apr-2018,0.06,0.06,0.06,0.06,10000
AEC.V,30-Apr-2018,0.295,0.295,0.29,0.29,20200
AEP.V,30-Apr-2018,0.495,0.495,0.495,0.495,21600
AFCC.V,30-Apr-2018,2.15,2.24,2.15,2.24,1900
AFE.V,30-Apr-2018,0.195,0.195,0.19,0.19,45000
AFM.V,30-Apr-2018,0.3,0.3,0.3,0.3,28500
AGB.V,30-Apr-2018,1.84,1.87,1.84,1.85,340158
AGC.V,30-Apr-2018,0.27,0.285,0.265,0.285,24500
AGG.V,30-Apr-2018,0.04,0.04,0.04,0.04,26000
AGH.H.V,30-Apr-2018,0.07,0.07,0.07,0.07,4700
AGL.V,30-Apr-2018,0.24,0.24,0.24,0.24,500
AGLD.V,30-Apr-2018,0.11,0.11,0.105,0.105,65400
AGO.V,30-Apr-2018,0.04,0.04,0.04,0.04,250000
AGZ.V,30-Apr-2018,0.19,0.19,0.19,0.19,71000
AHR.V,30-Apr-2018,0.12,0.12,0.12,0.12,1760
AII.V,30-Apr-2018,0.445,0.45,0.435,0.45,92009
AIIM.V,30-Apr-2018,0.045,0.045,0.045,0.045,1000
AIMB.P.V,30-Apr-2018,0.195,0.195,0.195,0.195,3000
AIS.V,30-Apr-2018,0.455,0.46,0.42,0.46,148025
AKR.V,30-Apr-2018,0.075,0.075,0.07,0.075,136200
AL.V,30-Apr-2018,0.065,0.07,0.065,0.07,45110
ALEF.V,30-Apr-2018,0.56,0.57,0.55,0.57,317437
ALG.V,30-Apr-2018,0.125,0.125,0.125,0.125,17211
ALTA.V,30-Apr-2018,0.165,0.165,0.155,0.155,204500
ALV.V,30-Apr-2018,0.15,0.15,0.145,0.145,15300
ALY.V,30-Apr-2018,0.41,0.41,0.39,0.4,36500
