Symbol,Date,Open,High,Low,Close,Volume
AAAAX,26-Apr-2018,9.49,9.49,9.49,9.49,0
AAADX,26-Apr-2018,16.9,16.9,16.9,16.9,0
AAAGX,26-Apr-2018,10.94,10.94,10.94,10.94,0
AAAIX,26-Apr-2018,8.33,8.33,8.33,8.33,0
AAANX,26-Apr-2018,12.96,12.96,12.96,12.96,0
AAAPX,26-Apr-2018,9.41,9.41,9.41,9.41,0
AAAQX,26-Apr-2018,9.54,9.54,9.54,9.54,0
AAARX,26-Apr-2018,8.43,8.43,8.43,8.43,0
AAASX,26-Apr-2018,9.41,9.41,9.41,9.41,0
AAATX,26-Apr-2018,10.8,10.8,10.8,10.8,0
AAAUX,26-Apr-2018,8.31,8.31,8.31,8.31,0
AAAVX,26-Apr-2018,9.42,9.42,9.42,9.42,0
AAAWX,26-Apr-2018,9.48,9.48,9.48,9.48,0
AAAZX,26-Apr-2018,9.42,9.42,9.42,9.42,0
AABAX,26-Apr-2018,13.49,13.49,13.49,13.49,0
AABCX,26-Apr-2018,14.69,14.69,14.69,14.69,0
AABFX,26-Apr-2018,13.25,13.25,13.25,13.25,0
AABOX,26-Apr-2018,9.16,9.16,9.16,9.16,0
AABPX,26-Apr-2018,14.77,14.77,14.77,14.77,0
AABSX,26-Apr-2018,17.23,17.23,17.23,17.23,0
AABTX,26-Apr-2018,11.49,11.49,11.49,11.49,0
AABUX,26-Apr-2018,18.83,18.83,18.83,18.83,0
AACBX,26-Apr-2018,13.49,13.49,13.49,13.49,0
AACCX,26-Apr-2018,5.68,5.68,5.68,5.68,0
AACDX,26-Apr-2018,5.77,5.77,5.77,5.77,0
AACFX,26-Apr-2018,28.95,28.95,28.95,28.95,0
AACGX,26-Apr-2018,5.78,5.78,5.78,5.78,0
AACIX,26-Apr-2018,16.78,16.78,16.78,16.78,0
AACOX,26-Apr-2018,14.74,14.74,14.74,14.74,0
AACRX,26-Apr-2018,5.75,5.75,5.75,5.75,0
AACTX,26-Apr-2018,12.51,12.51,12.51,12.51,0
AADAX,26-Apr-2018,16.02,16.02,16.02,16.02,0
AADBX,26-Apr-2018,16.6,16.6,16.6,16.6,0
AADCX,26-Apr-2018,15.84,15.84,15.84,15.84,0
AADDX,26-Apr-2018,16.9,16.9,16.9,16.9,0
AADEX,26-Apr-2018,28.91,28.91,28.91,28.91,0
AADGX,26-Apr-2018,12.76,12.76,12.76,12.76,0
AADIX,26-Apr-2018,16.1,16.1,16.1,16.1,0
AADRX,26-Apr-2018,15.97,15.97,15.97,15.97,0
AADSX,26-Apr-2018,16.01,16.01,16.01,16.01,0
AADTX,26-Apr-2018,13.45,13.45,13.45,13.45,0
AADYX,26-Apr-2018,16,16,16,16,0
AAEMX,26-Apr-2018,10.98,10.98,10.98,10.98,0
AAENX,26-Apr-2018,9.89,9.89,9.89,9.89,0
AAERX,26-Apr-2018,20.89,20.89,20.89,20.89,0
AAESX,26-Apr-2018,16.1,16.1,16.1,16.1,0
AAETX,26-Apr-2018,14.49,14.49,14.49,14.49,0
AAFTX,26-Apr-2018,14.99,14.99,14.99,14.99,0
AAGOX,26-Apr-2018,65.55,65.55,65.55,65.55,0
AAGPX,26-Apr-2018,26.83,26.83,26.83,26.83,0
AAGTX,26-Apr-2018,15.38,15.38,15.38,15.38,0
AAHMX,26-Apr-2018,10.14,10.14,10.14,10.14,0
AAHTX,26-Apr-2018,15.63,15.63,15.63,15.63,0
AAHYX,26-Apr-2018,7.36,7.36,7.36,7.36,0
AAIBX,26-Apr-2018,10.26,10.26,10.26,10.26,0
AAIEX,26-Apr-2018,20.88,20.88,20.88,20.88,0
AAIFX,26-Apr-2018,8.36,8.36,8.36,8.36,0
AAIIX,26-Apr-2018,7.88,7.88,7.88,7.88,0
AAINX,26-Apr-2018,10.11,10.11,10.11,10.11,0
AAIPX,26-Apr-2018,20.7,20.7,20.7,20.7,0
AAISX,26-Apr-2018,21.17,21.17,21.17,21.17,0
AALGX,26-Apr-2018,27.81,27.81,27.81,27.81,0
AALRX,26-Apr-2018,28.9,28.9,28.9,28.9,0
AALTX,26-Apr-2018,15.31,15.31,15.31,15.31,0
AAMAX,26-Apr-2018,10.98,10.98,10.98,10.98,0
AAMBX,26-Apr-2018,11.06,11.06,11.06,11.06,0
AAMCX,26-Apr-2018,10.84,10.84,10.84,10.84,0
AAMIX,26-Apr-2018,10.98,10.98,10.98,10.98,0
AAMOX,26-Apr-2018,2.35,2.35,2.35,2.35,0
AAMPX,26-Apr-2018,15.16,15.16,15.16,15.16,0
AAMTX,26-Apr-2018,19.06,19.06,19.06,19.06,0
AANTX,26-Apr-2018,12.54,12.54,12.54,12.54,0
AAOPX,26-Apr-2018,15.11,15.11,15.11,15.11,0
AAPEX,26-Apr-2018,13.91,13.91,13.91,13.91,0
AAPIX,26-Apr-2018,13.94,13.94,13.94,13.94,0
AARAX,26-Apr-2018,7.97,7.97,7.97,7.97,0
AARCX,26-Apr-2018,7.84,7.84,7.84,7.84,0
AARMX,26-Apr-2018,11.76,11.76,11.76,11.76,0
AARYX,26-Apr-2018,8.01,8.01,8.01,8.01,0
AASCX,26-Apr-2018,25.29,25.29,25.29,25.29,0
AASMX,26-Apr-2018,22.05,22.05,22.05,22.05,0
AASOX,26-Apr-2018,25.62,25.62,25.62,25.62,0
AASRX,26-Apr-2018,27.43,27.43,27.43,27.43,0
AASSX,26-Apr-2018,26.06,26.06,26.06,26.06,0
AASTX,26-Apr-2018,9.39,9.39,9.39,9.39,0
AATFX,26-Apr-2018,10.51,10.51,10.51,10.51,0
AATIX,26-Apr-2018,15.99,15.99,15.99,15.99,0
AATSX,26-Apr-2018,16.31,16.31,16.31,16.31,0
AAUPX,26-Apr-2018,18.71,18.71,18.71,18.71,0
AAUSX,26-Apr-2018,10,10,10,10,0
AAUTX,26-Apr-2018,22.68,22.68,22.68,22.68,0
AAVPX,26-Apr-2018,12.41,12.41,12.41,12.41,0
AAWEX,26-Apr-2018,9.59,9.59,9.59,9.59,0
AAWVX,26-Apr-2018,11.26,11.26,11.26,11.26,0
AAZAX,26-Apr-2018,10.88,10.88,10.88,10.88,0
AAZBX,26-Apr-2018,10.86,10.86,10.86,10.86,0
AAZCX,26-Apr-2018,10.86,10.86,10.86,10.86,0
ABAEX,26-Apr-2018,9.74,9.74,9.74,9.74,0
ABALX,26-Apr-2018,26.89,26.89,26.89,26.89,0
ABAMX,26-Apr-2018,22.13,22.13,22.13,22.13,0
ABASX,26-Apr-2018,22.85,22.85,22.85,22.85,0
ABBSX,26-Apr-2018,21.43,21.43,21.43,21.43,0
ABCAX,26-Apr-2018,16.46,16.46,16.46,16.46,0
ABCCX,26-Apr-2018,14.91,14.91,14.91,14.91,0
ABCEX,26-Apr-2018,9.7,9.7,9.7,9.7,0
ABCIX,26-Apr-2018,16.62,16.62,16.62,16.62,0
ABCSX,26-Apr-2018,20.12,20.12,20.12,20.12,0
ABCVX,26-Apr-2018,16.56,16.56,16.56,16.56,0
ABCYX,26-Apr-2018,16.54,16.54,16.54,16.54,0
ABDAX,26-Apr-2018,10.12,10.12,10.12,10.12,0
ABECX,26-Apr-2018,16.35,16.35,16.35,16.35,0
ABEIX,26-Apr-2018,9.65,9.65,9.65,9.65,0
ABEMX,26-Apr-2018,15.73,15.73,15.73,15.73,0
ABERX,26-Apr-2018,9.65,9.65,9.65,9.65,0
ABESX,26-Apr-2018,9.65,9.65,9.65,9.65,0
ABEYX,26-Apr-2018,21.67,21.67,21.67,21.67,0
ABFAX,26-Apr-2018,14.74,14.74,14.74,14.74,0
ABGNX,26-Apr-2018,18.86,18.86,18.86,18.86,0
ABHFX,26-Apr-2018,15.66,15.66,15.66,15.66,0
ABHIX,26-Apr-2018,5.59,5.59,5.59,5.59,0
ABHTX,26-Apr-2018,10.63,10.63,10.63,10.63,0
ABHYX,26-Apr-2018,9.56,9.56,9.56,9.56,0
ABIAX,26-Apr-2018,14.89,14.89,14.89,14.89,0
ABIBX,26-Apr-2018,14.64,14.64,14.64,14.64,0
ABICX,26-Apr-2018,14.58,14.58,14.58,14.58,0
ABIEX,26-Apr-2018,9.69,9.69,9.69,9.69,0
ABIMX,26-Apr-2018,9.77,9.77,9.77,9.77,0
ABINX,26-Apr-2018,18.86,18.86,18.86,18.86,0
ABISX,26-Apr-2018,10.93,10.93,10.93,10.93,0
ABIYX,26-Apr-2018,15.23,15.23,15.23,15.23,0
ABIZX,26-Apr-2018,41.8,41.8,41.8,41.8,0
ABKEX,26-Apr-2018,9.71,9.71,9.71,9.71,0
ABKYX,26-Apr-2018,13.52,13.52,13.52,13.52,0
ABLAX,26-Apr-2018,21.85,21.85,21.85,21.85,0
ABLCX,26-Apr-2018,21.61,21.61,21.61,21.61,0
ABLIX,26-Apr-2018,22.15,22.15,22.15,22.15,0
ABLOX,26-Apr-2018,16.87,16.87,16.87,16.87,0
ABLPX,26-Apr-2018,22.08,22.08,22.08,22.08,0
ABLRX,26-Apr-2018,21.83,21.83,21.83,21.83,0
ABLSX,26-Apr-2018,15.67,15.67,15.67,15.67,0
ABLYX,26-Apr-2018,28.71,28.71,28.71,28.71,0
ABMAX,26-Apr-2018,16.42,16.42,16.42,16.42,0
ABMIX,26-Apr-2018,41.81,41.81,41.81,41.81,0
ABNAX,26-Apr-2018,10.74,10.74,10.74,10.74,0
ABNCX,26-Apr-2018,10.5,10.5,10.5,10.5,0
ABNDX,26-Apr-2018,12.49,12.49,12.49,12.49,0
ABNFX,26-Apr-2018,12.49,12.49,12.49,12.49,0
ABNIX,26-Apr-2018,32.1,32.1,32.1,32.1,0
ABNKX,26-Apr-2018,10.72,10.72,10.72,10.72,0
ABNOX,26-Apr-2018,10.6,10.6,10.6,10.6,0
ABNRX,26-Apr-2018,10.72,10.72,10.72,10.72,0
ABNTX,26-Apr-2018,10.59,10.59,10.59,10.59,0
ABNYX,26-Apr-2018,10.76,10.76,10.76,10.76,0
ABNZX,26-Apr-2018,10.62,10.62,10.62,10.62,0
ABPAX,26-Apr-2018,12.08,12.08,12.08,12.08,0
ABPBX,26-Apr-2018,12.33,12.33,12.33,12.33,0
ABPCX,26-Apr-2018,12.04,12.04,12.04,12.04,0
ABPRX,26-Apr-2018,47.51,47.51,47.51,47.51,0
ABPYX,26-Apr-2018,12.13,12.13,12.13,12.13,0
ABQBX,26-Apr-2018,10.83,10.83,10.83,10.83,0
ABQCX,26-Apr-2018,10.8,10.8,10.8,10.8,0
ABQIX,26-Apr-2018,10.84,10.84,10.84,10.84,0
ABQKX,26-Apr-2018,10.83,10.83,10.83,10.83,0
ABQRX,26-Apr-2018,10.82,10.82,10.82,10.82,0
ABQUX,26-Apr-2018,10.82,10.82,10.82,10.82,0
ABQYX,26-Apr-2018,10.83,10.83,10.83,10.83,0
ABQZX,26-Apr-2018,10.85,10.85,10.85,10.85,0
ABRCX,26-Apr-2018,10.23,10.23,10.23,10.23,0
ABREX,26-Apr-2018,9.72,9.72,9.72,9.72,0
ABRFX,26-Apr-2018,13.01,13.01,13.01,13.01,0
ABRIX,26-Apr-2018,10.9,10.9,10.9,10.9,0
ABRJX,26-Apr-2018,7.26,7.26,7.26,7.26,0
ABRRX,26-Apr-2018,10.55,10.55,10.55,10.55,0
