Symbol,Date,Open,High,Low,Close,Volume,OpenInt
RS,27-Apr-2018,530,530,520.3,520.3,18485,209685
RS.C,27-Apr-2018,532.1,533.5,529.3,532.4,10108,104403
RSF19,27-Apr-2018,521.7,523,519.6,521.7,230,9041
RSF20,27-Apr-2018,506.7,506.8,506.7,506.8,0,0
RSH19,27-Apr-2018,523.2,525.3,521.9,523.3,42,1570
RSH20,27-Apr-2018,506.7,506.8,506.7,506.8,0,0
RSK18,27-Apr-2018,530,533.3,529.8,533.3,1246,1736
RSK19,27-Apr-2018,524.3,524.4,524.3,524.4,0,186
RSK20,27-Apr-2018,506.7,506.8,506.7,506.8,0,0
RSN18,27-Apr-2018,532.1,533.5,529.3,532.4,10108,104403
RSN19,27-Apr-2018,524.7,524.8,524.7,524.8,0,142
RSX18,27-Apr-2018,516.5,519.3,515.2,517.9,6859,92587
RSX19,27-Apr-2018,506.2,506.3,506.2,506.3,0,20
